k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,149.3110134601593
2,95.53%,95.95%,20411.34,17649.14,20549.62,True,True,150.8766028881073
3,95.53%,95.95%,22238.65,17649.14,22139.17,True,True,152.56540536880493
4,96.57%,96.95%,23925.04,17964.63,23718.24,True,True,154.1660668849945
5,96.73%,97.06%,25040.32,18002.15,24893.59,True,True,155.85593223571777
6,97.89%,98.55000000000001%,25760.98,18311.24,25459.11,True,True,157.58696699142456
7,98.5%,98.85000000000001%,26685.48,18384.36,26527.9,True,True,159.48095297813416
8,98.5%,98.85000000000001%,27453.32,18384.36,27204.23,True,True,161.6527771949768
9,98.5%,98.85000000000001%,28013.88,18384.36,27811.93,True,True,163.69576025009155
10,98.94%,99.46000000000001%,28416.93,18458.4,28137.01,True,True,165.85062861442566
11,99.11999999999999%,99.71%,28683.79,18517.52,28371.41,True,True,168.18451952934265
12,99.11999999999999%,99.71%,28865.4,18517.52,28493.57,True,True,170.4576234817505
13,99.25%,99.83999999999999%,28923.78,18550.49,28547.21,True,True,173.04615473747253
14,99.25%,99.83999999999999%,28926.11,18550.49,28548.95,True,True,175.43017077445984
15,99.25%,99.83999999999999%,28927.36,18550.49,28549.75,True,True,177.78687286376953
