k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,147.70451521873474
2,95.17%,95.66%,19589.24,17557.37,19721.24,True,True,149.3334105014801
3,95.17%,95.66%,21507.27,17557.37,21403.1,True,True,150.98988270759583
4,95.66%,95.98%,23239.25,17665.75,23240.57,True,True,152.55499649047852
5,95.66%,95.98%,24652.16,17665.75,24459.2,True,True,154.4060287475586
6,96.67999999999999%,97.07000000000001%,25989.18,17930.77,25864.42,True,True,156.20547151565552
7,97.94%,98.55000000000001%,26836.32,18274.45,26595.24,True,True,158.07982182502747
8,99.11999999999999%,99.71%,27585.12,18518.3,27254.19,True,True,159.82321882247925
9,99.11999999999999%,99.71%,28257.45,18518.3,27985.4,True,True,161.84386110305786
10,99.11999999999999%,99.71%,28508.64,18518.3,28175.28,True,True,163.97967433929443
11,99.11999999999999%,99.71%,28752.13,18518.3,28357.4,True,True,166.34339499473572
12,99.11999999999999%,99.71%,28969.61,18518.3,28621.36,True,True,168.73769426345825
13,99.11999999999999%,99.71%,29138.22,18518.3,28802.27,True,True,171.09393906593323
14,99.92999999999999%,99.95%,29287.87,18396.69,28980.62,True,True,173.37670493125916
15,99.92999999999999%,99.95%,29423.35,18396.69,29089.61,True,True,175.87652564048767
16,99.92999999999999%,99.95%,29529.77,18396.69,29201.37,True,True,178.49960064888
17,99.92999999999999%,99.95%,29601.46,18396.69,29250.46,True,True,181.1307303905487
18,99.92999999999999%,99.95%,29624.51,18396.69,29266.53,True,True,183.70607566833496
19,99.99%,99.99%,29644.33,18336.76,29288.71,True,True,186.36383771896362
20,99.99%,99.99%,29661.33,18336.76,29305.03,True,True,189.1855013370514
21,99.99%,99.99%,29674.54,18336.76,29312.71,True,True,192.4386751651764
22,99.99%,99.99%,29687.74,18336.76,29325.08,True,True,195.54535913467407
23,99.99%,99.99%,29699.89,18336.76,29333.87,True,True,198.68656873703003
24,99.99%,99.99%,29710.48,18336.76,29343.59,True,True,201.56372594833374
25,99.99%,99.99%,29718.28,18336.76,29352.68,True,True,204.42478704452515
26,99.99%,99.99%,29723.85,18336.76,29357.47,True,True,207.870014667511
27,99.99%,99.99%,29729.25,18336.76,29361.65,True,True,210.84808897972107
28,99.99%,99.99%,29733.71,18336.76,29364.16,True,True,214.12907695770264
29,99.99%,99.99%,29736.86,18336.76,29366.31,True,True,217.33214235305786
30,99.99%,99.99%,29739.59,18336.76,29368.74,True,True,220.6409375667572
31,99.99%,100.0%,29742.27,18339.76,29370.58,True,True,224.10856580734253
32,100.0%,100.0%,29743.53,16718.85,29372.19,True,True,227.30644536018372
33,100.0%,100.0%,29744.64,16718.85,29373.24,True,True,230.67916464805603
34,100.0%,100.0%,29745.0,16718.85,29373.37,True,True,234.4904432296753
35,100.0%,100.0%,29745.31,16718.85,29373.67,True,True,238.10532450675964
36,100.0%,100.0%,29745.54,16718.85,29373.86,True,True,241.86431241035461
37,100.0%,100.0%,29745.62,16718.85,29373.88,True,True,245.37515711784363
38,100.0%,100.0%,29745.67,16692.08,29373.95,True,True,248.76322174072266
39,100.0%,100.0%,29745.7,16643.48,29373.99,True,True,252.2264928817749
