k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,13757.56,14027.07,13683.57,True,True,128.43833565711975
2,95.17%,95.66%,17555.16,14381.02,17774.84,True,True,129.83240580558777
3,95.17%,95.66%,19982.06,14381.02,20502.43,True,True,131.32009720802307
4,96.69%,97.44%,21024.49,14665.31,21328.4,True,True,132.91490268707275
5,99.21%,98.89%,21387.16,14547.87,21733.16,True,True,134.64785289764404
6,99.21%,98.89%,22686.34,14547.87,23080.89,True,True,136.77847862243652
7,99.21%,98.89%,23698.2,14547.87,24051.16,True,True,139.2907154560089
8,99.21%,98.89%,24671.88,14547.87,25010.68,True,True,141.60655093193054
9,99.35000000000001%,99.17%,25278.25,14625.74,25503.74,True,True,143.90772914886475
10,99.35000000000001%,99.17%,25680.88,14625.74,25858.33,True,True,146.04784083366394
11,99.35000000000001%,99.17%,25966.66,14625.74,26194.47,True,True,148.40083241462708
12,99.35000000000001%,99.17%,26236.54,14625.74,26480.61,True,True,150.7540054321289
13,99.35000000000001%,99.17%,26419.1,14625.74,26688.48,True,True,153.17833375930786
14,99.42999999999999%,99.33999999999999%,26578.0,14658.79,26805.39,True,True,155.54578232765198
15,99.42999999999999%,99.33999999999999%,26711.23,14658.79,26906.21,True,True,158.0217297077179
16,99.42999999999999%,99.33999999999999%,26820.52,14658.79,27036.14,True,True,160.34243845939636
17,99.42999999999999%,99.33999999999999%,26923.87,14658.79,27125.19,True,True,162.88559007644653
18,99.42999999999999%,99.33999999999999%,27023.63,14658.79,27242.69,True,True,165.4456331729889
19,99.68%,99.7%,27116.46,14695.26,27316.51,True,True,168.06626844406128
20,99.68%,99.7%,27183.89,14695.26,27394.83,True,True,170.8904001712799
21,99.68%,99.7%,27237.98,14695.26,27446.44,True,True,173.81631898880005
22,99.96000000000001%,99.92999999999999%,27279.64,14633.97,27490.11,True,True,176.85762882232666
23,99.96000000000001%,99.92999999999999%,27306.56,14633.97,27517.88,True,True,179.97111058235168
24,99.96000000000001%,99.92999999999999%,27324.5,14633.97,27539.67,True,True,183.14706540107727
25,99.96000000000001%,99.92999999999999%,27342.14,14633.97,27551.22,True,True,186.75692987442017
26,99.96000000000001%,99.92999999999999%,27354.92,14633.97,27566.44,True,True,190.21760749816895
27,99.96000000000001%,99.92999999999999%,27365.53,14633.97,27578.13,True,True,193.50750589370728
28,99.97%,99.95%,27374.11,14639.07,27583.71,True,True,196.6819362640381
29,99.97%,99.95%,27381.55,14636.48,27591.59,True,True,200.1141631603241
30,99.97%,99.95%,27388.54,14636.48,27597.13,True,True,203.35984563827515
31,99.97%,99.95%,27394.02,14636.48,27603.09,True,True,206.71845149993896
32,99.97%,99.95%,27398.99,14636.48,27607.94,True,True,210.8031394481659
33,99.98%,99.99%,27403.82,14641.91,27611.51,True,True,214.055242061615
34,99.98%,99.99%,27408.37,14641.91,27615.13,True,True,217.6735360622406
35,99.98%,99.99%,27410.61,14641.91,27617.53,True,True,221.30875706672668
36,99.98%,99.99%,27412.63,14641.91,27619.92,True,True,224.8518693447113
37,99.98%,99.99%,27413.95,14641.91,27621.17,True,True,228.22519040107727
38,99.98%,99.99%,27414.79,14641.91,27621.88,True,True,231.60821747779846
39,99.98%,99.99%,27415.51,13999.7,27622.8,True,True,235.7243881225586
40,99.98%,99.99%,27416.14,13999.7,27623.2,True,True,239.3673961162567
41,99.98%,99.99%,27416.69,13999.7,27623.6,True,True,243.1368498802185
42,99.98%,99.99%,27416.91,13999.7,27623.83,True,True,246.96791553497314
43,99.98%,99.99%,27416.95,13999.64,27623.83,True,True,250.8679141998291
44,99.98%,99.99%,27417.1,13998.06,27623.89,True,True,254.52204966545105
