k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,317.1491045951843
2,95.53%,95.95%,20411.34,17649.14,20549.62,True,True,320.18753814697266
3,95.53%,95.95%,22803.97,17649.14,23288.78,True,True,323.43580865859985
4,95.53%,95.95%,24531.72,17649.14,25168.33,True,True,326.9427936077118
5,95.53%,95.95%,26034.3,17649.14,26412.44,True,True,330.5972468852997
6,96.57%,96.95%,27252.48,17964.63,27496.99,True,True,334.43044996261597
7,97.72999999999999%,98.44000000000001%,27973.14,18273.73,28062.51,True,True,338.36389350891113
8,98.1%,98.96000000000001%,28283.71,18372.9,28325.48,True,True,342.9969906806946
9,98.18%,99.21%,28392.21,18434.27,28380.97,True,True,347.6518220901489
10,98.18%,99.21%,28447.93,18434.27,28426.85,True,True,352.12942457199097
11,98.18%,99.21%,28460.36,18434.27,28433.6,True,True,357.17072319984436
