k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,4368.88,2983.48,4749.24,True,True,40.23685932159424
2,36.17%,23.61%,6443.3,4054.13,7066.47,True,True,40.697383642196655
3,41.589999999999996%,28.18%,7788.7,4996.51,8476.44,True,True,41.16898036003113
4,48.39%,35.92%,8612.54,5552.49,9269.12,True,True,41.643017292022705
5,57.82000000000001%,46.22%,9252.42,4208.1,9892.83,True,True,42.22353649139404
6,57.82000000000001%,46.22%,9414.98,4208.1,10066.53,True,True,42.88586354255676
7,58.63%,46.93%,9492.14,3939.62,10145.97,True,True,43.601247787475586
8,58.879999999999995%,47.08%,9553.39,3916.02,10211.68,True,True,44.2623074054718
9,59.13%,47.3%,9612.02,3955.6,10274.18,True,True,44.92187213897705
10,59.34%,47.46%,9642.86,3875.22,10305.22,True,True,45.628150939941406
11,59.56%,47.699999999999996%,9657.06,3809.86,10318.89,True,True,46.38899254798889
12,59.56%,47.699999999999996%,9669.65,3809.86,10332.78,True,True,47.17422389984131
13,59.56%,47.699999999999996%,9679.32,3809.86,10341.87,True,True,48.05216431617737
14,59.56%,47.699999999999996%,9680.14,3809.86,10342.81,True,True,48.81951713562012
