k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,36.720000000000006%,30.349999999999998%,6215.09,5136.35,6511.26,True,True,137.4412739276886
2,55.19%,55.71%,10741.45,11352.04,10573.81,True,True,138.16487073898315
3,56.48%,56.510000000000005%,12835.07,11627.16,12806.8,True,True,139.05348467826843
4,58.57%,57.620000000000005%,14154.34,11918.86,14241.77,True,True,139.98555159568787
5,75.4%,65.19%,15903.7,12584.56,16255.41,True,True,141.0469422340393
6,77.51%,69.76%,17789.5,14168.66,17853.93,True,True,142.13257002830505
7,78.60000000000001%,69.99%,18952.81,14227.61,19169.07,True,True,143.42474508285522
8,80.0%,70.39999999999999%,19623.8,14191.67,19960.64,True,True,144.76244378089905
9,80.0%,70.39999999999999%,20145.63,14191.67,20521.53,True,True,146.04535293579102
10,83.38%,79.09%,20779.07,15734.6,20896.68,True,True,147.41954803466797
11,90.32%,88.94999999999999%,21307.39,13638.05,21363.78,True,True,148.7252402305603
12,90.32%,88.94999999999999%,21549.56,13638.05,21645.95,True,True,150.1812551021576
13,90.7%,90.08%,21805.75,13919.52,21821.47,True,True,151.61183142662048
14,90.94%,90.69%,22007.9,14026.77,21968.88,True,True,153.28475284576416
15,91.83%,92.58%,22226.01,13748.1,22132.67,True,True,154.80951046943665
16,92.67999999999999%,94.43%,22420.6,12923.17,22268.85,True,True,156.3900978565216
17,92.71000000000001%,94.52000000000001%,22483.15,12938.65,22334.16,True,True,157.99945831298828
18,93.01%,94.86%,22529.54,12800.27,22379.01,True,True,159.72469997406006
19,93.69%,96.67%,22693.92,12798.39,22468.9,True,True,161.25404357910156
20,93.71000000000001%,96.67999999999999%,22724.91,12799.85,22504.35,True,True,162.95103549957275
21,93.71000000000001%,96.67999999999999%,22741.78,12788.45,22522.13,True,True,164.83918952941895
22,93.71000000000001%,96.67999999999999%,22779.95,12788.45,22548.52,True,True,166.57034635543823
23,93.82000000000001%,96.67999999999999%,22806.8,12682.38,22582.03,True,True,168.3187074661255
24,93.82000000000001%,96.67999999999999%,22833.53,12682.38,22612.22,True,True,170.30594396591187
25,93.82000000000001%,96.67999999999999%,22850.1,12682.38,22627.99,True,True,172.31259655952454
26,93.82000000000001%,96.67999999999999%,22862.62,12682.38,22640.41,True,True,174.42277669906616
27,93.82000000000001%,96.67999999999999%,22868.95,12682.38,22647.98,True,True,176.75877928733826
28,93.82000000000001%,96.67999999999999%,22873.12,12682.38,22653.0,True,True,178.69195652008057
29,93.83%,96.7%,22876.32,12668.17,22656.54,True,True,180.6320436000824
30,93.83%,96.7%,22878.26,12668.17,22658.63,True,True,182.81351685523987
31,93.83%,96.7%,22878.5,12668.17,22658.9,True,True,184.82101249694824
