k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,36.720000000000006%,30.349999999999998%,6215.09,5136.35,6511.26,True,True,137.9672887325287
2,55.19%,55.71%,10741.45,11352.04,10573.81,True,True,138.86608242988586
3,56.48%,56.510000000000005%,12835.07,11627.16,12806.8,True,True,139.80122804641724
4,59.019999999999996%,61.45%,14764.81,13337.98,14450.88,True,True,140.74760341644287
5,61.11%,62.56%,16084.07,13629.68,15885.85,True,True,141.79879331588745
6,64.95%,63.88%,17533.94,13980.62,17535.27,True,True,142.96162629127502
7,69.67%,65.28%,18549.9,14108.5,18737.98,True,True,144.16731810569763
8,73.05%,73.97%,19183.33,15651.43,19113.13,True,True,145.3623719215393
9,79.99000000000001%,83.83%,19711.65,13554.88,19580.23,True,True,146.59261107444763
10,80.58999999999999%,85.11%,19990.49,13856.34,19780.44,True,True,147.90559816360474
11,81.23%,86.33999999999999%,20252.67,13361.57,19973.53,True,True,149.2795124053955
12,82.19999999999999%,88.3%,20505.91,13074.47,20177.89,True,True,150.63947939872742
13,82.39999999999999%,88.81%,20731.6,13178.22,20340.56,True,True,152.07056522369385
14,82.39999999999999%,88.81%,20946.84,13178.22,20590.51,True,True,153.5223786830902
15,83.39%,91.43%,21151.42,13367.22,20702.88,True,True,155.00092840194702
16,83.83%,91.59%,21215.54,13179.21,20778.25,True,True,156.64509892463684
17,84.25%,92.2%,21277.84,12917.77,20832.98,True,True,158.32300353050232
18,84.28%,92.2%,21337.92,12914.97,20900.1,True,True,160.01751136779785
19,84.54%,92.38%,21397.17,12940.4,20962.95,True,True,161.69468474388123
20,84.68%,92.44%,21440.93,12942.35,21013.12,True,True,163.44341778755188
21,84.91%,92.69%,21476.1,12839.43,21047.6,True,True,165.05784273147583
22,84.91%,92.69%,21502.82,12839.43,21077.78,True,True,166.94778990745544
23,85.11999999999999%,93.05%,21526.35,12127.46,21096.8,True,True,168.7013237476349
24,85.11999999999999%,93.05%,21542.92,12127.46,21112.57,True,True,170.44381999969482
25,85.16%,93.07%,21550.13,12129.46,21120.9,True,True,172.29489040374756
26,85.25%,93.21000000000001%,21561.18,11011.57,21129.87,True,True,174.0153079032898
27,85.25%,93.21000000000001%,21567.74,11011.57,21137.54,True,True,175.93967247009277
28,85.25%,93.21000000000001%,21572.88,11011.57,21141.75,True,True,177.90457701683044
29,85.25%,93.21000000000001%,21576.9,11011.57,21146.59,True,True,179.7769250869751
30,85.25%,93.21000000000001%,21578.83,11011.57,21148.68,True,True,181.94191145896912
31,85.25%,93.21000000000001%,21580.69,11011.57,21150.52,True,True,183.86953806877136
32,85.26%,93.24%,21581.64,10676.3,21151.13,True,True,185.80871272087097
33,85.26%,93.24%,21582.2,10676.3,21151.65,True,True,187.98992323875427
34,85.26%,93.24%,21582.81,10676.3,21152.43,True,True,190.2454493045807
35,85.26%,93.24%,21583.05,10676.3,21152.71,True,True,192.4405333995819
36,85.26%,93.24%,21583.11,10676.3,21152.74,True,True,194.43886971473694
