k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,13757.56,14027.07,13683.57,True,True,242.38208484649658
2,95.17%,95.66%,17555.16,14381.02,17774.84,True,True,244.67101311683655
3,95.17%,95.66%,19982.06,14381.02,20502.43,True,True,247.0629107952118
4,96.2%,96.76%,21932.72,14646.04,22415.14,True,True,249.34858083724976
5,96.2%,96.76%,23193.44,14646.04,23744.64,True,True,252.01970171928406
6,96.37%,96.89999999999999%,24299.88,14695.03,24799.82,True,True,254.83930349349976
7,97.54%,98.27%,25313.05,15026.41,25620.76,True,True,257.8011004924774
8,97.54%,98.27%,25889.12,15026.41,26106.52,True,True,260.65278697013855
9,98.76%,99.24%,26352.01,15074.56,26585.19,True,True,263.59862756729126
10,98.76%,99.24%,26649.09,15074.56,26924.99,True,True,266.9890983104706
11,98.76%,99.24%,26907.04,15074.56,27133.72,True,True,270.5058264732361
12,99.06%,99.35000000000001%,27146.28,15085.69,27355.98,True,True,273.77137541770935
13,99.06%,99.35000000000001%,27328.84,15085.69,27563.84,True,True,277.3891806602478
14,99.33%,99.56%,27491.98,15126.11,27722.03,True,True,280.8925893306732
15,99.65%,99.83%,27662.32,15125.56,27884.69,True,True,284.55280566215515
16,99.65%,99.83%,27793.32,15125.56,28028.67,True,True,288.9158833026886
17,99.7%,99.83999999999999%,27893.44,15129.7,28146.63,True,True,293.16389560699463
18,99.7%,99.83999999999999%,27980.52,15129.7,28212.05,True,True,297.47798681259155
19,99.7%,99.83999999999999%,28049.87,15129.7,28276.32,True,True,301.6299800872803
20,99.7%,99.83999999999999%,28090.5,15129.7,28316.41,True,True,306.11146903038025
21,99.77000000000001%,99.9%,28099.18,12886.19,28325.36,True,True,310.64196848869324
22,99.77000000000001%,99.9%,28134.32,12886.19,28362.05,True,True,315.4609627723694
23,99.77000000000001%,99.9%,28165.38,12886.19,28390.48,True,True,320.95477962493896
24,100.0%,100.0%,28197.39,12808.85,28427.44,True,True,325.92031049728394
25,100.0%,100.0%,28224.4,12808.85,28445.1,True,True,331.3700225353241
26,100.0%,100.0%,28241.52,12808.85,28465.18,True,True,336.8630986213684
27,100.0%,100.0%,28257.39,12808.85,28482.28,True,True,342.5229494571686
28,100.0%,100.0%,28272.45,12808.85,28496.04,True,True,348.2867431640625
29,100.0%,100.0%,28285.23,12808.85,28511.26,True,True,353.9994230270386
30,100.0%,100.0%,28296.34,12808.85,28525.0,True,True,359.8431296348572
31,100.0%,100.0%,28305.37,12808.85,28532.01,True,True,365.9198865890503
32,100.0%,100.0%,28310.31,12808.85,28536.58,True,True,371.785169839859
33,100.0%,100.0%,28318.36,12808.85,28545.77,True,True,377.7294661998749
34,100.0%,100.0%,28323.42,12808.85,28550.02,True,True,383.56105518341064
35,100.0%,100.0%,28327.16,12808.85,28553.41,True,True,389.6941931247711
36,100.0%,100.0%,28329.73,12808.85,28556.19,True,True,396.07042121887207
37,100.0%,100.0%,28331.97,12808.85,28558.59,True,True,403.2645785808563
38,100.0%,100.0%,28334.27,12806.82,28561.52,True,True,409.9733393192291
39,100.0%,100.0%,28336.4,12806.82,28564.23,True,True,416.59442234039307
40,100.0%,100.0%,28338.45,12806.82,28566.31,True,True,423.74668526649475
41,100.0%,100.0%,28340.1,12806.82,28567.47,True,True,430.6357514858246
42,100.0%,100.0%,28340.19,12805.12,28567.53,True,True,437.92061734199524
