k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,317.01134037971497
2,96.69%,97.44%,20364.97,17958.23,20239.94,True,True,320.1870141029358
3,96.69%,97.44%,22887.82,17958.23,23122.8,True,True,323.79607486724854
4,97.22%,97.78999999999999%,24848.34,18064.91,25251.56,True,True,327.2520160675049
5,97.22%,97.78999999999999%,26331.9,18064.91,26535.45,True,True,331.09736227989197
6,97.52%,98.00999999999999%,27525.67,18139.94,27797.31,True,True,335.02082324028015
7,97.52%,98.00999999999999%,28538.05,18139.94,28642.94,True,True,339.11914706230164
8,97.52%,98.00999999999999%,29312.43,18139.94,29390.99,True,True,343.4147861003876
9,98.18%,98.46000000000001%,30125.92,18243.52,30251.5,True,True,347.62173223495483
10,99.27%,99.77000000000001%,30817.2,18536.69,30829.02,True,True,352.20803332328796
11,99.27%,99.77000000000001%,31150.34,18536.69,31191.01,True,True,356.8779191970825
12,99.36%,99.82%,31467.5,18550.08,31449.64,True,True,361.623334646225
13,99.48%,99.83999999999999%,31695.61,18558.31,31693.59,True,True,366.62510538101196
14,99.48%,99.83999999999999%,31900.27,18558.31,31935.47,True,True,372.1869261264801
15,99.48%,99.83999999999999%,32083.55,18558.31,32070.34,True,True,377.57650423049927
16,99.48%,99.83999999999999%,32264.9,18558.31,32200.97,True,True,382.89046478271484
17,99.88%,99.94%,32370.52,18423.64,32328.44,True,True,388.3076226711273
18,99.88%,99.94%,32470.59,18423.64,32437.97,True,True,394.5230989456177
19,99.88%,99.94%,32557.22,18423.64,32534.92,True,True,401.3983163833618
20,99.88%,99.94%,32637.86,18423.64,32632.87,True,True,408.2191836833954
21,99.88%,99.94%,32706.68,18423.64,32689.71,True,True,415.4108040332794
22,99.88%,99.94%,32771.56,18423.64,32733.73,True,True,422.5654881000519
23,99.88%,99.94%,32833.54,18423.64,32796.96,True,True,429.9775011539459
24,99.88%,99.94%,32892.86,18423.64,32850.1,True,True,437.5263092517853
25,99.88%,99.94%,32946.61,18423.64,32908.1,True,True,445.0838544368744
26,99.88%,99.94%,32991.3,18423.64,32961.4,True,True,452.75212121009827
27,99.88%,99.94%,33031.11,18423.64,33006.24,True,True,460.7877690792084
28,99.88%,99.94%,33063.39,18423.64,33033.26,True,True,468.90097403526306
29,99.88%,99.94%,33095.01,18423.64,33061.34,True,True,476.79414892196655
30,99.99%,100.0%,33115.1,18275.61,33083.89,True,True,485.06625962257385
31,99.99%,100.0%,33133.33,18275.61,33096.9,True,True,494.0541605949402
32,99.99%,100.0%,33149.73,18275.61,33117.25,True,True,503.28977274894714
33,99.99%,100.0%,33163.51,18275.61,33131.86,True,True,512.0588619709015
34,99.99%,100.0%,33177.19,18275.61,33141.96,True,True,521.2078371047974
35,99.99%,100.0%,33187.73,18275.61,33147.35,True,True,531.0196602344513
36,99.99%,100.0%,33197.16,18275.61,33155.87,True,True,541.0021243095398
37,99.99%,100.0%,33206.55,18275.61,33162.7,True,True,550.7020907402039
38,99.99%,100.0%,33215.68,18275.61,33172.51,True,True,560.6795687675476
39,99.99%,100.0%,33223.12,18275.61,33179.93,True,True,570.220621585846
40,99.99%,100.0%,33230.37,18275.61,33187.89,True,True,580.7358858585358
41,99.99%,100.0%,33237.23,18275.61,33192.76,True,True,590.8590753078461
42,99.99%,100.0%,33243.21,18275.61,33194.03,True,True,600.8766663074493
43,99.99%,100.0%,33249.06,18275.61,33201.02,True,True,612.0699181556702
44,99.99%,100.0%,33254.33,18275.61,33205.2,True,True,623.0275583267212
45,99.99%,100.0%,33258.53,18275.61,33208.85,True,True,634.6118221282959
46,99.99%,100.0%,33262.57,18275.61,33212.42,True,True,645.0632238388062
47,99.99%,100.0%,33265.89,18275.61,33216.59,True,True,656.1620402336121
48,99.99%,100.0%,33269.02,18275.61,33220.24,True,True,667.456857919693
49,99.99%,100.0%,33271.39,18275.61,33222.86,True,True,678.6946828365326
50,99.99%,100.0%,33273.74,18275.61,33224.37,True,True,689.8783440589905
