k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,318.03986740112305
2,96.69%,97.44%,20364.97,17958.23,20239.94,True,True,321.0935482978821
3,96.69%,97.44%,22887.82,17958.23,23122.8,True,True,324.67300844192505
4,97.22%,97.78999999999999%,24848.34,18064.91,25251.56,True,True,328.4004764556885
5,97.22%,97.78999999999999%,26331.9,18064.91,26535.45,True,True,332.24915766716003
6,97.52%,98.00999999999999%,27525.67,18139.94,27797.31,True,True,336.05587220191956
7,97.52%,98.00999999999999%,28538.05,18139.94,28642.94,True,True,340.02354097366333
8,99.21%,98.89%,29023.28,18165.21,29189.08,True,True,344.18759632110596
9,99.21%,98.89%,29797.65,18165.21,29937.14,True,True,348.95649909973145
10,99.36%,99.11%,30409.2,18218.42,30570.57,True,True,353.7179582118988
11,99.81%,99.87%,30942.29,18403.61,30987.47,True,True,358.67626881599426
12,99.81%,99.87%,31271.9,18403.61,31345.4,True,True,364.29291105270386
13,99.86%,99.91%,31579.53,18417.74,31591.88,True,True,369.9055862426758
14,99.86%,99.91%,31737.67,18417.74,31704.79,True,True,375.29409098625183
15,99.86%,99.91%,31937.78,18417.74,31903.14,True,True,381.0052103996277
16,99.86%,99.91%,32120.33,18417.74,32120.89,True,True,387.0012221336365
17,99.86%,99.91%,32301.46,18417.74,32251.58,True,True,392.94793152809143
18,99.86%,99.91%,32409.2,18417.74,32370.24,True,True,399.3175091743469
19,99.86%,99.91%,32514.52,18417.74,32449.99,True,True,405.96837520599365
20,99.86%,99.91%,32606.82,18417.74,32561.55,True,True,412.9704415798187
21,99.86%,99.91%,32693.45,18417.74,32658.5,True,True,420.1928586959839
22,99.86%,99.91%,32774.09,18417.74,32756.45,True,True,427.32124757766724
23,99.86%,99.91%,32842.91,18417.74,32813.29,True,True,434.46454334259033
24,99.86%,99.91%,32902.54,18417.74,32866.62,True,True,441.6015250682831
25,99.86%,99.91%,32956.32,18417.74,32924.65,True,True,449.2223289012909
26,99.86%,99.91%,32996.77,18417.74,32970.15,True,True,456.7069492340088
27,99.86%,99.91%,33029.05,18417.74,32997.16,True,True,464.7244119644165
28,99.86%,99.91%,33060.66,18417.74,33025.24,True,True,472.42624855041504
29,99.97%,99.98%,33080.69,18334.38,33047.64,True,True,480.6123969554901
30,99.97%,99.98%,33098.92,18334.38,33060.65,True,True,489.6055257320404
31,99.97%,99.98%,33115.32,18334.38,33080.99,True,True,498.07511258125305
32,99.97%,99.98%,33130.4,18334.38,33092.58,True,True,506.5102937221527
33,99.97%,99.98%,33144.66,18334.38,33108.71,True,True,515.3232779502869
34,99.97%,99.98%,33158.52,18334.38,33123.41,True,True,524.667683839798
35,99.97%,99.98%,33169.07,18334.38,33128.8,True,True,533.9054133892059
36,99.97%,99.98%,33178.83,18334.38,33140.16,True,True,543.3615112304688
37,99.97%,99.98%,33188.26,18334.38,33148.67,True,True,552.4365174770355
38,99.97%,99.98%,33197.21,18334.38,33158.3,True,True,562.3184435367584
39,99.97%,99.98%,33205.91,18334.38,33167.13,True,True,571.7417967319489
40,99.97%,99.98%,33213.17,18334.38,33175.09,True,True,581.7738647460938
41,99.97%,99.98%,33221.61,18334.38,33180.8,True,True,592.0238151550293
42,99.97%,99.98%,33228.46,18334.38,33185.67,True,True,602.1964590549469
43,99.97%,99.98%,33234.64,18334.38,33186.96,True,True,612.2138431072235
44,99.97%,99.98%,33239.9,18334.38,33191.14,True,True,622.3548080921173
45,99.97%,99.98%,33244.11,18334.38,33194.79,True,True,632.4404649734497
46,99.97%,99.98%,33248.14,18334.38,33198.36,True,True,642.7267401218414
47,99.97%,99.98%,33252.12,18334.38,33201.47,True,True,653.3723773956299
48,99.97%,99.98%,33255.45,18334.38,33205.65,True,True,664.3950872421265
49,99.97%,99.98%,33258.77,18334.38,33209.33,True,True,674.9973409175873
50,99.97%,99.98%,33261.93,18334.38,33213.01,True,True,685.4748582839966
