k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,17.21%,14.11%,4247.59,3482.4,4457.68,True,False,317.40631222724915
2,93.49%,95.02000000000001%,18174.91,17398.88,18153.3,True,True,319.09462094306946
3,96.16%,96.53%,21186.38,17788.11,21339.55,True,True,322.2680826187134
4,96.16%,96.53%,23218.19,17788.11,23655.11,True,True,325.7222785949707
5,97.24000000000001%,97.5%,24988.79,18070.62,25289.17,True,True,329.3429925441742
6,97.24000000000001%,97.5%,26585.35,18070.62,26644.44,True,True,333.2331700325012
7,97.43%,97.71%,27655.48,18141.48,27769.26,True,True,337.195529460907
8,98.28%,98.54%,28704.64,18336.48,28880.6,True,True,341.24587845802307
9,98.28%,98.54%,29635.87,18336.48,29677.66,True,True,345.9118981361389
10,98.28%,98.54%,30375.84,18336.48,30375.02,True,True,350.58908200263977
11,98.99%,99.35000000000001%,30835.18,18498.08,30779.23,True,True,355.27139830589294
12,98.99%,99.35000000000001%,31261.19,18498.08,31260.28,True,True,360.23952555656433
13,98.99%,99.35000000000001%,31516.07,18498.08,31537.63,True,True,365.28266954421997
14,99.5%,99.88%,31739.13,18563.96,31741.19,True,True,370.4375491142273
15,99.5%,99.88%,31943.79,18563.96,31983.08,True,True,376.050808429718
16,99.5%,99.88%,32133.45,18563.96,32121.61,True,True,381.8676164150238
17,99.5%,99.88%,32313.72,18563.96,32253.75,True,True,388.05598735809326
18,99.5%,99.88%,32481.52,18563.96,32421.4,True,True,394.2300102710724
19,99.91%,99.98%,32587.14,18432.66,32548.86,True,True,400.61820435523987
20,99.91%,99.98%,32677.16,18432.66,32657.04,True,True,407.5787727832794
21,99.91%,99.98%,32757.81,18432.66,32754.99,True,True,414.51401257514954
22,99.91%,99.98%,32825.14,18432.66,32811.43,True,True,421.64867544174194
23,99.91%,99.98%,32891.1,18432.66,32856.3,True,True,428.8321461677551
24,99.91%,99.98%,32944.86,18432.66,32914.3,True,True,436.4535005092621
25,99.91%,99.98%,32987.17,18432.66,32961.6,True,True,443.89240431785583
26,99.91%,99.98%,33026.12,18432.66,32993.72,True,True,451.8864653110504
27,99.91%,99.98%,33057.73,18432.66,33021.8,True,True,459.93645119667053
28,99.91%,99.98%,33087.62,18432.66,33048.83,True,True,468.00737023353577
29,99.91%,99.98%,33104.02,18432.66,33069.17,True,True,476.09665727615356
30,99.99%,100.0%,33119.32,18275.61,33087.46,True,True,484.4898476600647
31,99.99%,100.0%,33133.09,18275.61,33102.08,True,True,493.1875720024109
32,99.99%,100.0%,33145.82,18275.61,33116.72,True,True,502.6404654979706
33,99.99%,100.0%,33154.85,18275.61,33126.48,True,True,512.1704545021057
34,99.99%,100.0%,33165.39,18275.61,33131.87,True,True,521.5834367275238
35,99.99%,100.0%,33174.75,18275.61,33140.3,True,True,531.0022559165955
36,99.99%,100.0%,33183.2,18275.61,33146.01,True,True,541.1546709537506
37,99.99%,100.0%,33191.15,18275.61,33153.95,True,True,550.4038984775543
38,99.99%,100.0%,33198.97,18275.61,33163.02,True,True,559.9108834266663
39,99.99%,100.0%,33206.22,18275.61,33170.98,True,True,570.2805275917053
40,99.99%,100.0%,33213.08,18275.61,33175.84,True,True,580.2436368465424
41,99.99%,100.0%,33219.12,18275.61,33182.71,True,True,590.6830780506134
42,99.99%,100.0%,33225.11,18275.61,33186.93,True,True,600.9027559757233
43,99.99%,100.0%,33230.46,18275.61,33188.28,True,True,611.9912152290344
44,99.99%,100.0%,33235.79,18275.61,33194.41,True,True,622.2766146659851
45,99.99%,100.0%,33241.06,18275.61,33198.58,True,True,632.816733121872
46,99.99%,100.0%,33245.26,18275.61,33202.24,True,True,643.9188475608826
47,99.99%,100.0%,33249.29,18275.61,33205.81,True,True,654.3976745605469
48,99.99%,100.0%,33252.62,18275.61,33209.98,True,True,665.5399823188782
49,99.99%,100.0%,33255.75,18275.61,33213.62,True,True,676.3211178779602
50,99.99%,100.0%,33258.11,18275.61,33216.25,True,True,688.0274412631989
