k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,83.45%,74.0%,15203.8,13483.24,15676.19,True,True,150.4836070537567
2,95.26%,88.39%,18171.98,16254.57,18582.02,True,True,151.37933349609375
3,95.26%,88.39%,20740.59,16254.57,21288.65,True,True,152.36183714866638
4,97.3%,93.58%,21715.32,17477.3,21906.87,True,True,153.4744894504547
5,99.62%,99.35000000000001%,22141.67,18120.39,22159.42,True,True,154.62472319602966
6,99.77000000000001%,99.67%,22215.97,18194.36,22219.23,True,True,155.96892189979553
7,99.97%,99.92999999999999%,22247.49,16657.24,22248.16,True,True,157.32101845741272
8,99.97%,99.92999999999999%,22276.8,16657.24,22267.85,True,True,158.85591292381287
9,99.97%,99.92999999999999%,22286.65,16657.24,22278.98,True,True,160.47199249267578
10,99.97%,99.92999999999999%,22289.15,16657.24,22280.89,True,True,162.10989499092102
