k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,87.5%,89.36%,12850.69,13123.39,12775.82,True,True,242.40306782722473
2,91.91%,91.79%,16954.93,13720.31,17204.64,True,True,244.42686438560486
3,92.32000000000001%,91.97%,19457.24,13788.59,20018.8,True,True,246.61192798614502
4,93.84%,93.99%,21517.32,14274.18,22022.87,True,True,249.0078146457672
5,95.69%,96.44%,22874.76,14872.02,23144.81,True,True,251.45151567459106
6,96.03%,96.6%,23979.6,14917.47,24332.78,True,True,254.01766705513
7,96.22%,96.76%,25055.78,14970.55,25366.51,True,True,257.09475326538086
8,97.44%,97.72999999999999%,25657.01,15018.69,25965.51,True,True,259.7464015483856
9,97.44%,97.72999999999999%,26124.36,15018.69,26358.95,True,True,262.9582233428955
10,99.99%,99.99%,26475.42,14258.4,26721.41,True,True,266.10514855384827
11,99.99%,99.99%,26772.51,14258.4,27061.21,True,True,269.88155245780945
12,99.99%,99.99%,27006.58,14258.4,27245.34,True,True,273.716335773468
13,99.99%,99.99%,27212.54,14258.4,27476.1,True,True,277.8138315677643
14,99.99%,99.99%,27395.1,14258.4,27683.97,True,True,281.5835564136505
15,99.99%,99.99%,27573.25,14188.96,27843.98,True,True,285.3844437599182
16,99.99%,99.99%,27718.22,14188.96,27983.13,True,True,289.4243712425232
17,99.99%,99.99%,27833.28,14181.8,28075.39,True,True,293.5864644050598
18,99.99%,99.99%,27849.92,14176.05,28089.67,True,True,297.87282943725586
19,99.99%,99.99%,27934.51,14176.05,28190.81,True,True,302.5090754032135
20,99.99%,99.99%,28012.19,14176.05,28249.59,True,True,307.06370210647583
21,99.99%,99.99%,28081.5,14176.05,28313.86,True,True,312.06300711631775
22,99.99%,99.99%,28122.13,14176.05,28353.95,True,True,316.8039536476135
23,99.99%,99.99%,28157.27,14176.05,28390.65,True,True,321.7508568763733
24,99.99%,99.99%,28188.33,14176.05,28419.08,True,True,326.86367082595825
25,99.99%,99.99%,28214.89,14176.05,28436.0,True,True,331.87966990470886
26,99.99%,99.99%,28233.55,14176.05,28457.93,True,True,337.07883071899414
27,99.99%,99.99%,28249.43,14176.05,28475.03,True,True,342.40475487709045
28,99.99%,99.99%,28264.48,14176.05,28488.79,True,True,348.2329640388489
29,99.99%,99.99%,28277.9,14176.05,28505.43,True,True,354.1892919540405
30,99.99%,99.99%,28287.77,14176.05,28515.4,True,True,359.654700756073
31,99.99%,99.99%,28296.8,14176.05,28522.41,True,True,365.3080005645752
32,100.0%,100.0%,28305.63,14179.23,28531.85,True,True,371.3952522277832
33,100.0%,100.0%,28314.14,14179.23,28538.05,True,True,377.24782848358154
34,100.0%,100.0%,28319.42,14179.23,28542.54,True,True,383.18504762649536
35,100.0%,100.0%,28324.15,14178.52,28547.09,True,True,389.28284740448
36,100.0%,100.0%,28326.19,14060.57,28549.54,True,True,395.5958435535431
37,100.0%,100.0%,28329.06,14060.57,28551.98,True,True,402.0953698158264
38,100.0%,100.0%,28331.92,14060.57,28555.18,True,True,408.76472568511963
39,100.0%,100.0%,28334.49,14060.57,28557.96,True,True,415.5453746318817
40,100.0%,100.0%,28336.63,14060.57,28560.68,True,True,422.33025550842285
41,100.0%,100.0%,28338.67,14060.57,28562.76,True,True,429.7780690193176
42,100.0%,100.0%,28340.32,14060.57,28563.91,True,True,437.3732078075409
43,100.0%,100.0%,28341.8,14060.57,28565.29,True,True,444.5398893356323
44,100.0%,100.0%,28342.82,14060.57,28566.05,True,True,451.80167961120605
45,100.0%,100.0%,28343.74,14060.57,28567.23,True,True,458.77039766311646
46,100.0%,100.0%,28344.58,14060.57,28568.11,True,True,466.08944511413574
47,100.0%,100.0%,28345.42,14060.57,28569.01,True,True,473.8418674468994
48,100.0%,100.0%,28346.21,14060.17,28569.72,True,True,481.02966260910034
49,100.0%,100.0%,28346.8,14058.42,28570.22,True,True,488.50517106056213
50,100.0%,100.0%,28347.22,14058.42,28570.57,True,True,495.8953285217285
