k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,29.349999999999998%,32.82%,6640.04,7424.36,6424.7,True,False,244.7464849948883
2,91.14999999999999%,92.85%,15714.95,13911.86,15570.93,True,True,246.17845487594604
3,91.86999999999999%,93.16%,18826.28,14030.21,19059.59,True,True,248.40950560569763
4,94.6%,94.64%,21315.24,14376.09,21708.47,True,True,250.6976602077484
5,95.25%,95.34%,22710.05,14546.99,23091.14,True,True,253.2540934085846
6,95.52000000000001%,95.61%,23833.38,14636.81,24160.69,True,True,255.9543001651764
7,96.7%,97.03%,24744.2,14973.34,24941.31,True,True,258.8636269569397
8,96.7%,97.03%,25462.87,14973.34,25718.64,True,True,261.88276386260986
9,97.46000000000001%,97.66%,25905.77,14956.86,26175.68,True,True,265.0103282928467
10,97.81%,98.03%,26271.94,15035.83,26534.81,True,True,268.4571273326874
11,97.81%,98.03%,26552.26,15035.83,26859.32,True,True,271.7806317806244
12,98.48%,98.95%,26833.28,15078.41,27106.83,True,True,275.19359850883484
13,98.48%,98.95%,27091.23,15078.41,27315.56,True,True,278.94084310531616
14,98.48%,98.95%,27279.53,15078.41,27471.78,True,True,282.87120509147644
15,98.48%,98.95%,27462.09,15078.41,27679.64,True,True,286.6354296207428
16,99.6%,99.41%,27628.74,14795.48,27873.19,True,True,290.6877145767212
17,99.6%,99.41%,27756.94,14795.48,28014.0,True,True,294.9789481163025
18,99.65%,99.42999999999999%,27861.32,14799.61,28137.12,True,True,299.35580134391785
19,99.67%,99.5%,27956.17,14818.43,28207.65,True,True,303.9479043483734
20,99.79%,99.67%,28020.89,14844.36,28255.38,True,True,308.85281229019165
21,99.79%,99.67%,28080.88,14844.36,28312.45,True,True,313.6979205608368
22,99.83999999999999%,99.78%,28126.25,14870.96,28354.15,True,True,318.3588604927063
23,99.83999999999999%,99.78%,28161.39,14870.96,28390.85,True,True,323.5559003353119
24,99.87%,99.78%,28188.41,14865.75,28423.12,True,True,329.0826814174652
25,99.95%,99.94%,28205.8,14839.07,28436.55,True,True,334.13708662986755
26,99.95%,99.94%,28221.67,14839.07,28453.65,True,True,339.8176414966583
27,99.95%,99.94%,28236.43,14839.07,28467.14,True,True,345.5833411216736
28,99.95%,99.94%,28249.21,14839.07,28482.36,True,True,352.55883860588074
29,99.95%,99.94%,28260.43,14839.07,28496.24,True,True,358.9713451862335
30,99.96000000000001%,99.96000000000001%,28270.95,14841.84,28504.11,True,True,364.7217526435852
31,99.96000000000001%,99.96000000000001%,28280.58,14841.84,28510.89,True,True,370.7219908237457
32,99.96000000000001%,99.96000000000001%,28289.61,14841.84,28517.89,True,True,376.73061537742615
33,99.96000000000001%,99.96000000000001%,28298.06,14841.84,28527.33,True,True,382.8175382614136
34,99.99%,99.99%,28306.05,14808.64,28536.15,True,True,389.17450308799744
35,99.99%,99.99%,28311.75,14808.64,28542.32,True,True,395.6642587184906
36,99.99%,99.99%,28315.37,14808.64,28545.57,True,True,402.23945569992065
37,99.99%,99.99%,28318.9,14808.64,28549.26,True,True,409.51997327804565
38,99.99%,99.99%,28320.94,14808.64,28550.71,True,True,416.1947600841522
39,99.99%,99.99%,28323.42,14808.64,28553.88,True,True,422.99134588241577
40,99.99%,99.99%,28325.69,14808.64,28555.44,True,True,431.01826524734497
41,99.99%,99.99%,28327.74,14808.64,28557.52,True,True,437.8740930557251
42,99.99%,100.0%,28329.58,14806.59,28558.89,True,True,444.92392349243164
43,99.99%,100.0%,28330.6,14806.59,28559.66,True,True,451.5876383781433
44,99.99%,100.0%,28331.52,14806.59,28560.83,True,True,458.51023411750793
45,99.99%,100.0%,28332.36,14806.59,28561.72,True,True,465.50077080726624
46,99.99%,100.0%,28333.2,14806.59,28562.62,True,True,472.49521017074585
47,100.0%,100.0%,28333.92,14060.86,28563.54,True,True,479.5334441661835
48,100.0%,100.0%,28334.5,14059.11,28564.03,True,True,487.4499809741974
49,100.0%,100.0%,28334.87,14059.11,28564.21,True,True,495.0267004966736
50,100.0%,100.0%,28335.06,14059.11,28564.44,True,True,502.8135018348694
