k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,13757.56,14027.07,13683.57,True,True,106.0435860157013
2,96.69%,97.44%,16974.0,14665.31,16860.13,True,True,107.03385353088379
3,98.13%,98.22%,18053.21,14780.79,18091.22,True,True,108.29041147232056
4,99.21%,98.89%,18209.35,14547.87,18263.65,True,True,109.4556496143341
5,99.52%,99.38%,18373.87,14619.88,18390.81,True,True,110.75179171562195
6,99.52%,99.38%,18475.71,14619.88,18490.86,True,True,112.4029655456543
7,99.8%,99.68%,18518.98,14589.48,18533.49,True,True,113.8447949886322
8,99.8%,99.68%,18549.96,14589.48,18569.87,True,True,115.46278524398804
9,99.8%,99.68%,18558.31,14589.48,18577.83,True,True,117.21681070327759
10,99.96000000000001%,99.91%,18578.36,12826.49,18595.3,True,True,119.0247893333435
11,99.96000000000001%,99.91%,18584.38,12826.49,18601.06,True,True,120.93052530288696
12,99.96000000000001%,99.91%,18584.69,12826.49,18601.34,True,True,122.95310592651367
