k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,77.92999999999999%,54.24%,20834.35,14500.87,22485.33,True,True,137.22920179367065
2,98.09%,97.46000000000001%,25290.22,21677.16,25612.93,True,True,138.17707300186157
3,98.09%,97.46000000000001%,29251.43,21677.16,29884.61,True,True,139.49160242080688
4,98.31%,97.92%,30845.45,21844.35,31539.49,True,True,140.81443977355957
5,98.31%,97.92%,33172.83,21844.35,33519.09,True,True,142.18577408790588
6,98.31%,97.92%,34476.74,21844.35,34888.61,True,True,143.55229306221008
7,98.31%,97.92%,35790.92,21844.35,36390.58,True,True,145.09903979301453
8,98.77%,98.58%,36521.45,22101.87,37005.62,True,True,146.73008251190186
9,98.77%,98.58%,36989.47,22101.87,37343.8,True,True,148.36894464492798
10,98.77%,98.58%,37443.79,22101.87,37809.84,True,True,150.15971779823303
11,98.77%,98.58%,37824.95,22101.87,38250.08,True,True,151.9433948993683
12,99.47%,99.59%,38177.59,22253.65,38528.36,True,True,153.6888918876648
13,99.66000000000001%,99.85000000000001%,38442.32,22322.89,38753.04,True,True,155.56152939796448
14,99.66000000000001%,99.85000000000001%,38686.36,22322.89,38947.3,True,True,157.59775614738464
15,99.66000000000001%,99.85000000000001%,38912.4,22322.89,39085.73,True,True,159.78640937805176
16,99.66000000000001%,99.85000000000001%,39102.21,22322.89,39293.98,True,True,161.88343858718872
17,99.66000000000001%,99.85000000000001%,39247.26,22322.89,39396.18,True,True,164.02399110794067
18,99.66000000000001%,99.85000000000001%,39372.49,22322.89,39472.34,True,True,166.1884229183197
19,99.66000000000001%,99.85000000000001%,39479.38,22322.89,39584.6,True,True,168.44784665107727
20,99.66000000000001%,99.85000000000001%,39583.17,22322.89,39692.36,True,True,170.89518070220947
21,99.66000000000001%,99.85000000000001%,39682.79,22322.89,39790.28,True,True,173.30505990982056
22,99.72999999999999%,99.92%,39759.44,22308.59,39851.09,True,True,175.75736260414124
23,99.98%,99.97%,39827.58,22164.3,39930.3,True,True,178.1091775894165
24,99.98%,99.97%,39893.27,22164.3,39986.35,True,True,180.89509868621826
25,99.98%,99.97%,39948.23,22164.3,40052.57,True,True,183.69411492347717
26,99.98%,99.97%,39987.33,22164.3,40092.82,True,True,186.68411803245544
27,99.98%,99.97%,40021.26,22164.3,40125.21,True,True,189.48594641685486
28,99.98%,99.97%,40053.42,22164.3,40142.26,True,True,192.57184386253357
29,99.98%,99.97%,40079.43,22164.3,40173.69,True,True,195.5586805343628
30,99.98%,99.97%,40104.78,22164.3,40201.15,True,True,198.6362612247467
31,99.98%,99.97%,40127.8,22164.3,40226.0,True,True,201.89472460746765
32,99.98%,99.97%,40150.39,22164.3,40248.36,True,True,205.32513093948364
33,99.98%,99.97%,40169.22,22164.3,40260.58,True,True,208.62535285949707
34,99.98%,99.97%,40187.93,22164.3,40278.54,True,True,212.45988607406616
35,99.98%,99.97%,40206.09,22164.3,40298.98,True,True,216.06920313835144
36,99.98%,99.97%,40219.77,22164.3,40308.35,True,True,219.66822934150696
37,99.98%,99.97%,40233.11,22164.3,40323.53,True,True,223.20291447639465
38,99.98%,99.97%,40246.26,22164.3,40338.04,True,True,226.77634978294373
39,99.98%,99.97%,40256.7,22164.3,40348.24,True,True,230.48704075813293
40,99.98%,99.97%,40266.86,22164.3,40358.29,True,True,234.25673031806946
41,99.98%,99.97%,40274.62,22164.3,40362.15,True,True,237.92688536643982
42,99.98%,99.97%,40280.8,22164.3,40369.36,True,True,241.69703936576843
43,99.98%,99.97%,40286.23,22164.3,40373.31,True,True,245.5063624382019
44,99.98%,99.97%,40291.18,22164.3,40379.1,True,True,249.65352869033813
45,99.98%,99.97%,40295.7,22164.3,40384.71,True,True,253.72798252105713
46,100.0%,100.0%,40298.93,20566.44,40387.42,True,True,257.8835141658783
47,100.0%,100.0%,40302.48,20566.44,40390.66,True,True,262.07390880584717
48,100.0%,100.0%,40305.27,20561.03,40391.16,True,True,266.35956025123596
49,100.0%,100.0%,40306.89,20561.03,40392.42,True,True,270.60769391059875
50,100.0%,100.0%,40309.58,20561.03,40394.93,True,True,274.8626856803894
