k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,10.67%,51.629999999999995%,1472.65,7122.05,0.0,True,False,136.53074884414673
2,85.22999999999999%,89.53999999999999%,21841.23,17257.72,22485.33,True,True,137.16997027397156
3,85.22999999999999%,89.53999999999999%,25802.44,17257.72,26757.01,True,True,138.2526650428772
4,97.77%,98.76%,28930.03,17251.64,29589.06,True,True,139.41793131828308
5,97.92999999999999%,98.91%,31397.17,17322.09,31609.1,True,True,140.7278232574463
6,97.92999999999999%,98.91%,33743.73,17322.09,34288.03,True,True,142.16266345977783
7,97.92999999999999%,98.91%,35033.81,17322.09,35652.12,True,True,143.67014241218567
8,97.92999999999999%,98.91%,35823.37,17322.09,36351.54,True,True,145.30791091918945
9,99.35000000000001%,99.42%,36501.37,17405.34,36994.14,True,True,146.98335933685303
10,99.35000000000001%,99.42%,36955.69,17405.34,37460.18,True,True,148.87162923812866
11,99.37%,99.44%,37370.97,17415.97,37767.59,True,True,150.80913519859314
12,99.37%,99.44%,37754.88,17415.97,38211.31,True,True,152.79890608787537
13,99.42%,99.52%,38097.81,17443.84,38486.62,True,True,154.7216935157776
14,99.42%,99.52%,38386.26,17443.84,38724.84,True,True,156.8696792125702
15,99.42%,99.52%,38664.84,17443.84,39021.09,True,True,158.96159410476685
16,99.42999999999999%,99.52%,38916.84,17443.84,39173.15,True,True,160.9299750328064
17,99.42999999999999%,99.52%,39121.66,17443.84,39395.65,True,True,163.05113697052002
18,99.48%,99.64%,39316.69,17458.29,39515.51,True,True,165.4067084789276
19,99.48%,99.64%,39479.46,17458.29,39686.21,True,True,167.97316360473633
20,99.61%,99.8%,39602.48,17494.97,39773.11,True,True,170.46095061302185
21,99.61%,99.8%,39708.19,17494.97,39837.4,True,True,172.86764359474182
22,99.61%,99.8%,39811.51,17494.97,39946.2,True,True,175.26886677742004
23,99.83999999999999%,99.85000000000001%,39897.37,17421.95,40032.73,True,True,177.89888310432434
24,99.85000000000001%,99.85000000000001%,39913.49,17421.46,40042.7,True,True,180.80389285087585
25,99.85000000000001%,99.85000000000001%,39973.89,17421.46,40092.7,True,True,183.73154211044312
26,99.85000000000001%,99.85000000000001%,40017.16,17421.46,40129.62,True,True,186.8470437526703
27,99.85000000000001%,99.85000000000001%,40060.03,17421.46,40174.06,True,True,189.92933225631714
28,99.87%,99.87%,40099.45,17427.67,40210.88,True,True,193.00543880462646
29,99.87%,99.87%,40138.55,17427.67,40251.14,True,True,196.23459768295288
30,99.97%,99.95%,40168.11,17440.34,40277.14,True,True,199.47023797035217
31,99.97%,99.95%,40191.64,17440.34,40296.62,True,True,202.81420254707336
32,99.97%,99.95%,40215.72,17440.34,40309.9,True,True,206.1108865737915
33,99.97%,99.95%,40238.89,17440.34,40332.52,True,True,209.52420282363892
34,99.97%,99.95%,40257.36,17440.34,40350.18,True,True,213.0508382320404
35,99.97%,99.95%,40273.76,17440.34,40368.39,True,True,216.59354066848755
36,99.97%,99.95%,40288.54,17440.34,40381.46,True,True,220.10264229774475
37,99.97%,99.95%,40302.74,17440.34,40391.21,True,True,223.71746802330017
38,99.97%,99.95%,40315.88,17440.34,40405.73,True,True,227.14625430107117
39,99.97%,99.95%,40324.44,17440.34,40414.36,True,True,230.79768824577332
40,99.97%,99.95%,40332.73,17420.0,40416.86,True,True,234.38999199867249
41,99.99%,99.97%,40340.33,17411.45,40424.24,True,True,237.99842429161072
42,99.99%,99.97%,40346.51,17411.45,40431.45,True,True,242.02801847457886
43,99.99%,99.97%,40352.2,17411.45,40437.7,True,True,246.05138993263245
44,99.99%,99.97%,40356.72,17411.45,40443.31,True,True,249.91060090065002
45,99.99%,99.97%,40361.08,17411.45,40447.56,True,True,254.14259505271912
46,99.99%,99.97%,40365.22,17411.45,40449.61,True,True,258.32706117630005
47,99.99%,99.97%,40368.46,17411.45,40451.88,True,True,262.24308919906616
48,99.99%,99.97%,40371.62,17411.45,40454.98,True,True,266.1535851955414
49,99.99%,99.97%,40374.01,17411.45,40457.84,True,True,270.81713366508484
50,99.99%,99.97%,40376.18,17411.45,40460.46,True,True,275.12109565734863
