k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,77.92999999999999%,54.24%,20834.35,14500.87,22485.33,True,True,71.54985666275024
2,98.46000000000001%,97.26%,25035.6,20071.19,25487.07,True,True,72.00397300720215
3,98.46000000000001%,97.26%,27440.9,20071.19,28036.65,True,True,72.51911854743958
4,99.03999999999999%,98.6%,28205.81,20413.46,28544.27,True,True,73.06470441818237
5,99.83999999999999%,99.7%,28589.71,20589.93,28861.47,True,True,73.66379261016846
6,99.83999999999999%,99.7%,28773.35,20589.93,29070.26,True,True,74.33442711830139
7,99.83999999999999%,99.7%,28943.67,20589.93,29191.57,True,True,75.03333401679993
8,99.83999999999999%,99.7%,29036.42,20589.93,29261.34,True,True,75.8802399635315
9,99.96000000000001%,99.87%,29120.29,20577.28,29332.23,True,True,76.68731117248535
10,99.96000000000001%,99.87%,29143.11,20577.28,29354.26,True,True,77.61360335350037
11,100.0%,100.0%,29157.89,20558.72,29362.22,True,True,78.44489407539368
12,100.0%,100.0%,29171.15,20558.72,29370.52,True,True,79.48964309692383
13,100.0%,100.0%,29174.75,20558.72,29372.35,True,True,80.71036005020142
14,100.0%,100.0%,29181.44,20558.72,29378.56,True,True,81.91582417488098
15,100.0%,100.0%,29184.74,20558.72,29380.41,True,True,82.95195841789246
16,100.0%,100.0%,29186.88,20558.72,29382.22,True,True,84.07350182533264
17,100.0%,100.0%,29188.7,20558.72,29383.19,True,True,85.1639895439148
18,100.0%,100.0%,29188.89,20558.72,29383.29,True,True,86.39541888237
