k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.25999999999999%,94.46%,20389.06,20876.08,20262.11,True,True,137.42398500442505
2,95.59%,96.11%,25436.0,21413.95,25664.57,True,True,138.55551862716675
3,95.59%,96.11%,29208.87,21413.95,29746.34,True,True,139.77703881263733
4,96.24000000000001%,96.75%,31316.8,21723.96,31589.77,True,True,140.95428824424744
5,96.69%,97.11%,31580.57,21884.17,31865.53,True,True,142.17975974082947
6,96.87%,97.61%,31667.3,21968.28,31912.42,True,True,143.5212299823761
7,96.87%,97.61%,31701.34,21968.28,31931.51,True,True,145.00194430351257
8,96.87%,97.61%,31709.84,21968.28,31940.61,True,True,146.368901014328
9,96.88%,97.64%,31712.94,21965.53,31942.34,True,True,147.84626841545105
10,96.88%,97.64%,31714.21,21965.53,31943.25,True,True,149.4508397579193
11,96.88%,97.64%,31715.8,21965.53,31943.73,True,True,151.13585424423218
