k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.25999999999999%,94.46%,17541.61,17960.61,17432.38,True,True,112.25774598121643
2,95.15%,95.71%,21949.98,18349.75,22222.94,True,True,112.97460079193115
3,95.15%,95.71%,25276.47,18349.75,25938.74,True,True,113.93272542953491
4,95.15%,95.71%,26943.62,18349.75,27446.23,True,True,114.71559643745422
5,96.07%,96.27%,29429.39,18528.41,30182.36,True,True,115.62808179855347
6,96.07%,96.27%,31450.31,18528.41,32322.78,True,True,116.59705901145935
7,96.92%,97.0%,32499.5,18801.75,33246.09,True,True,117.60897970199585
8,96.92%,97.0%,32953.95,18801.75,33568.81,True,True,118.61161756515503
9,97.31%,97.46000000000001%,33395.08,18968.66,33936.07,True,True,119.68541145324707
10,99.61%,99.44%,33777.23,17327.09,34332.23,True,True,120.82352924346924
11,99.64%,99.52%,34007.92,17343.86,34503.31,True,True,122.10136890411377
12,99.64%,99.52%,34172.31,17343.86,34653.75,True,True,123.61129903793335
13,99.72999999999999%,99.59%,34385.08,17361.71,34847.9,True,True,124.97851276397705
14,99.78%,99.72%,34540.78,17384.99,34949.41,True,True,126.35820126533508
15,99.78%,99.72%,34686.31,17384.99,35106.08,True,True,127.79807662963867
16,99.92%,99.85000000000001%,34792.64,17332.56,35207.26,True,True,129.16930675506592
17,99.92%,99.85000000000001%,34888.97,17332.56,35322.34,True,True,130.67937517166138
18,99.92%,99.85000000000001%,34973.72,17332.56,35417.68,True,True,132.07786893844604
19,99.92%,99.85000000000001%,35056.62,17332.56,35511.92,True,True,133.66960859298706
20,99.95%,99.9%,35086.58,17341.94,35535.43,True,True,135.1424069404602
21,99.95%,99.9%,35111.71,17341.94,35559.29,True,True,136.81135845184326
22,99.95%,99.9%,35134.94,17341.94,35586.31,True,True,138.51700687408447
23,99.95%,99.9%,35155.17,17341.94,35605.05,True,True,140.20841217041016
24,99.95%,99.9%,35173.49,17341.94,35619.99,True,True,141.86773300170898
25,99.95%,99.9%,35191.37,17341.94,35635.23,True,True,143.75543117523193
26,99.95%,99.9%,35205.35,17341.94,35641.89,True,True,145.72662329673767
27,99.97%,100.0%,35210.68,16823.71,35643.72,True,True,147.61601066589355
28,99.97%,100.0%,35218.43,16823.71,35651.1,True,True,149.90688133239746
29,99.99%,100.0%,35230.48,16823.71,35660.95,True,True,151.85066175460815
30,99.99%,100.0%,35237.85,16823.71,35668.65,True,True,153.9964234828949
31,99.99%,100.0%,35242.91,16823.71,35674.57,True,True,156.22613549232483
32,99.99%,100.0%,35247.44,16823.71,35679.98,True,True,158.47619342803955
33,99.99%,100.0%,35251.73,16823.71,35684.54,True,True,160.620943069458
34,99.99%,100.0%,35255.56,16823.71,35688.42,True,True,162.79341769218445
35,99.99%,100.0%,35258.25,16823.71,35691.61,True,True,165.10547494888306
36,99.99%,100.0%,35260.56,16823.71,35693.3,True,True,167.43395042419434
37,100.0%,100.0%,35261.81,15161.48,35694.88,True,True,169.60931873321533
38,100.0%,100.0%,35263.18,15161.48,35695.78,True,True,171.88047170639038
39,100.0%,100.0%,35264.44,15161.48,35696.84,True,True,174.55606365203857
40,100.0%,100.0%,35265.48,15161.48,35697.96,True,True,176.82408571243286
41,100.0%,100.0%,35266.45,15161.48,35698.95,True,True,179.08385586738586
42,100.0%,100.0%,35267.31,15161.48,35699.94,True,True,181.21238541603088
43,100.0%,100.0%,35267.54,15161.48,35700.22,True,True,183.606698513031
44,100.0%,100.0%,35267.67,15161.48,35700.39,True,True,185.96300959587097
45,100.0%,100.0%,35267.7,15161.48,35700.43,True,True,188.2260811328888
