k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,19.74%,29.94%,5949.56,9022.28,5148.59,True,False,136.816743850708
2,83.58%,68.64%,23016.27,18839.83,23967.17,True,True,137.51468324661255
3,83.58%,68.64%,26849.79,18839.83,28115.26,True,True,138.57671403884888
4,98.66%,98.3%,30182.41,21929.69,30607.97,True,True,139.66791987419128
5,98.66%,98.3%,31574.69,21929.69,31857.23,True,True,141.02758860588074
6,99.25%,99.33999999999999%,31881.18,22116.0,32086.9,True,True,142.4847583770752
7,99.47%,99.72%,31966.95,22173.41,32148.78,True,True,144.21733903884888
8,99.47%,99.72%,31986.4,22173.41,32169.81,True,True,145.9968376159668
9,99.47%,99.72%,31991.95,22173.41,32172.59,True,True,147.8824427127838
10,99.47%,99.72%,31991.99,22173.41,32172.62,True,True,149.61096119880676
