k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,77.92999999999999%,54.24%,20834.35,14500.87,22485.33,True,True,71.7584536075592
2,98.09%,97.46000000000001%,25290.22,21677.16,25612.93,True,True,72.18555808067322
3,98.09%,97.46000000000001%,27695.52,21677.16,28162.51,True,True,72.69758152961731
4,99.4%,98.96000000000001%,28323.31,22017.48,28701.49,True,True,73.26440596580505
5,99.4%,98.96000000000001%,28624.71,22017.48,28910.22,True,True,73.91856646537781
6,99.4%,98.96000000000001%,28808.35,22017.48,29119.01,True,True,74.60646057128906
7,99.7%,99.67%,28982.23,22185.19,29221.9,True,True,75.37741136550903
8,99.85000000000001%,99.9%,29039.56,22177.73,29266.52,True,True,76.16428399085999
9,99.99%,99.97%,29082.66,22133.45,29311.7,True,True,76.96106791496277
10,99.99%,99.97%,29120.74,22133.45,29340.34,True,True,77.99589943885803
11,99.99%,99.97%,29160.78,22133.45,29362.84,True,True,79.06703734397888
12,99.99%,99.97%,29174.04,22133.45,29371.14,True,True,80.0048599243164
13,99.99%,99.97%,29184.29,22133.45,29381.03,True,True,81.2912175655365
14,99.99%,99.97%,29186.43,22133.45,29382.83,True,True,82.34796404838562
15,99.99%,99.97%,29187.63,22133.45,29383.19,True,True,83.49492812156677
16,100.0%,100.0%,29188.54,20665.75,29383.19,True,True,84.67900538444519
17,100.0%,100.0%,29188.73,20665.75,29383.29,True,True,85.7987232208252
