k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,19.74%,29.94%,5118.53,7762.04,4429.43,True,False,111.25557565689087
2,94.37%,96.41999999999999%,19307.75,18467.55,19022.49,True,True,111.7919807434082
3,96.48%,97.31%,23164.1,18745.5,23236.33,True,True,112.60753607749939
4,96.48%,97.31%,26398.39,18745.5,26861.07,True,True,113.55089592933655
5,97.26%,97.66%,28758.02,18859.19,29487.15,True,True,114.47027969360352
6,97.26%,97.66%,30960.4,18859.19,31827.64,True,True,115.38944387435913
7,97.26%,97.66%,31989.19,18859.19,32813.93,True,True,116.39269781112671
8,97.26%,97.66%,32752.05,18859.19,33458.55,True,True,117.40329670906067
9,97.26%,97.66%,33192.63,18859.19,33764.51,True,True,118.44438028335571
10,99.26%,99.11%,33627.79,19054.04,34231.24,True,True,119.70441174507141
11,99.3%,99.21%,33826.28,19080.1,34366.81,True,True,120.87193703651428
12,99.3%,99.21%,34020.52,19080.1,34571.51,True,True,122.17876243591309
13,99.37%,99.24%,34176.37,19091.65,34758.13,True,True,123.36166667938232
14,99.37%,99.24%,34328.17,19091.65,34895.89,True,True,124.79374647140503
15,99.37%,99.24%,34468.46,19091.65,35007.29,True,True,126.1078131198883
16,99.42%,99.26%,34603.03,19095.83,35130.57,True,True,127.52396011352539
17,99.6%,99.49%,34690.97,19051.13,35206.6,True,True,128.96317601203918
18,99.66000000000001%,99.49%,34777.5,19051.13,35305.85,True,True,130.4437484741211
19,99.94%,99.85000000000001%,34823.63,17328.52,35348.65,True,True,131.99493169784546
20,99.94%,99.85000000000001%,34864.69,17328.52,35377.93,True,True,133.73212599754333
21,99.94%,99.85000000000001%,34898.03,17328.52,35405.29,True,True,135.46995496749878
22,99.94%,99.85000000000001%,34924.2,17328.52,35428.44,True,True,137.30129075050354
23,99.94%,99.85000000000001%,34949.34,17328.52,35452.3,True,True,139.01395869255066
24,99.94%,99.85000000000001%,34969.64,17328.52,35468.68,True,True,140.75076532363892
25,99.94%,99.85000000000001%,34984.27,17328.52,35475.75,True,True,142.5099334716797
26,99.96000000000001%,99.87%,34995.35,17331.65,35484.59,True,True,144.28583526611328
27,99.96000000000001%,99.87%,35003.35,17331.65,35492.16,True,True,146.21862196922302
28,99.96000000000001%,99.87%,35010.72,17331.65,35499.86,True,True,148.1642496585846
29,99.98%,99.97%,35015.79,16814.12,35501.5,True,True,149.99041390419006
30,99.98%,99.97%,35020.85,16814.12,35507.42,True,True,152.1455192565918
31,99.98%,99.97%,35025.38,16814.12,35512.83,True,True,154.2369327545166
32,99.98%,99.97%,35029.67,16814.12,35517.39,True,True,156.3601200580597
33,99.98%,99.97%,35032.79,16814.12,35520.28,True,True,158.59594321250916
34,99.98%,99.97%,35036.12,16814.12,35524.07,True,True,160.76555061340332
35,100.0%,100.0%,35038.31,14661.1,35525.92,True,True,162.94019079208374
36,100.0%,100.0%,35040.05,14661.1,35527.4,True,True,165.28475856781006
37,100.0%,100.0%,35041.41,14661.1,35528.3,True,True,167.81391835212708
38,100.0%,100.0%,35042.48,14661.1,35529.33,True,True,170.13751196861267
39,100.0%,100.0%,35043.52,14661.1,35530.44,True,True,172.52885556221008
40,100.0%,100.0%,35044.17,14661.1,35531.27,True,True,174.9017083644867
41,100.0%,100.0%,35044.53,14661.1,35531.58,True,True,177.1537003517151
42,100.0%,100.0%,35044.86,14661.1,35531.95,True,True,179.43934440612793
43,100.0%,100.0%,35044.89,14661.1,35531.99,True,True,181.78509902954102
