k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.25999999999999%,94.46%,17541.61,17960.61,17432.38,True,True,51.39630484580994
2,95.7%,96.6%,21292.8,18472.3,21559.37,True,True,51.898752212524414
3,95.7%,96.6%,22921.28,18472.3,23096.32,True,True,52.425907373428345
4,98.41%,98.3%,23510.22,18804.72,23742.56,True,True,52.93913245201111
5,98.77%,98.55000000000001%,23929.27,18869.18,24117.66,True,True,53.55965876579285
6,98.77%,98.55000000000001%,24144.52,18869.18,24299.77,True,True,54.26664328575134
7,98.77%,98.55000000000001%,24305.21,18869.18,24478.08,True,True,54.99552297592163
8,98.77%,98.55000000000001%,24448.1,18869.18,24581.62,True,True,55.77263140678406
9,99.52%,99.72%,24577.74,17319.11,24692.48,True,True,56.535404205322266
10,99.91%,99.87%,24640.24,16654.94,24764.89,True,True,57.37228178977966
11,99.91%,99.87%,24675.34,16654.94,24807.54,True,True,58.47516965866089
12,99.97%,99.97%,24687.75,16423.04,24818.66,True,True,59.42530965805054
13,99.97%,99.97%,24743.65,16423.04,24869.45,True,True,60.42259120941162
14,99.97%,99.97%,24743.65,16423.04,24869.45,True,True,61.26603150367737
