k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,63.160000000000004%,65.13%,14536.65,14990.49,14415.84,True,True,49.55529808998108
2,95.94%,93.41000000000001%,19528.52,15673.46,19590.23,True,True,49.955063581466675
3,95.94%,93.41000000000001%,22774.27,15673.46,22474.14,True,True,50.41292691230774
4,96.72%,95.1%,25991.36,16298.3,25350.38,True,True,50.87805533409119
5,97.34%,95.5%,28082.8,16392.76,27662.6,True,True,51.3960075378418
6,97.69%,95.95%,29622.58,16550.39,29388.96,True,True,52.016416788101196
7,97.69%,95.95%,30582.02,16550.39,30447.25,True,True,52.58020377159119
8,97.69%,95.95%,31274.25,16550.39,31261.5,True,True,53.12907862663269
9,97.69%,95.95%,31961.57,16550.39,31891.93,True,True,53.7244827747345
10,98.06%,97.0%,32428.35,16846.03,32207.36,True,True,54.3199405670166
11,99.79%,99.75%,32889.06,15669.29,32631.71,True,True,54.94655108451843
12,99.79%,99.75%,33211.05,15669.29,32909.4,True,True,55.71655249595642
13,99.81%,99.75%,33471.18,15669.29,33162.97,True,True,56.421764850616455
14,99.81%,99.75%,33709.27,15669.29,33427.15,True,True,57.15941286087036
15,99.82%,99.75%,33947.15,15669.29,33611.73,True,True,57.912949562072754
16,99.82%,99.75%,34136.53,15669.29,33806.18,True,True,58.67074203491211
17,99.82%,99.75%,34302.19,15669.29,33996.75,True,True,59.527541399002075
18,99.82%,99.75%,34366.76,15668.35,34047.92,True,True,60.343703746795654
19,99.82%,99.75%,34428.18,15668.35,34095.85,True,True,61.136470317840576
20,99.85000000000001%,99.85000000000001%,34481.78,15694.53,34130.43,True,True,61.87786054611206
21,99.85000000000001%,99.85000000000001%,34524.62,15694.53,34162.51,True,True,62.709091901779175
22,99.86%,99.9%,34562.87,15677.2,34162.51,True,True,63.560091495513916
23,99.86%,99.9%,34597.91,15677.2,34198.15,True,True,64.65237760543823
24,99.94%,99.95%,34633.11,15620.51,34239.97,True,True,65.51593542098999
25,99.94%,99.95%,34665.26,15620.51,34273.28,True,True,66.5567512512207
26,99.94%,99.95%,34688.32,15620.51,34292.27,True,True,67.44844508171082
27,99.94%,99.95%,34704.22,15620.51,34310.2,True,True,68.4264817237854
28,99.95%,99.95%,34718.35,15620.51,34325.73,True,True,69.40609788894653
29,99.95%,99.95%,34731.96,15620.51,34334.17,True,True,70.43860864639282
30,99.95%,99.95%,34744.28,15620.51,34349.42,True,True,71.46882653236389
31,99.95%,99.95%,34752.9,15620.51,34358.08,True,True,72.52553105354309
32,99.95%,99.95%,34760.71,15620.51,34363.74,True,True,73.51742815971375
33,99.95%,99.95%,34768.35,15620.51,34369.28,True,True,74.61651992797852
34,99.95%,99.95%,34775.93,15620.51,34375.68,True,True,75.65574288368225
35,100.0%,100.0%,34782.32,12406.01,34382.15,True,True,76.70368146896362
36,100.0%,100.0%,34785.62,12406.01,34385.7,True,True,77.72312784194946
37,100.0%,100.0%,34787.84,12406.01,34388.51,True,True,78.8238468170166
38,100.0%,100.0%,34790.01,12406.01,34388.51,True,True,80.10913872718811
39,100.0%,100.0%,34792.14,12406.01,34390.79,True,True,81.30085253715515
40,100.0%,100.0%,34793.32,12406.01,34390.79,True,True,82.45380663871765
41,100.0%,100.0%,34794.24,12406.01,34391.95,True,True,83.6795825958252
42,100.0%,100.0%,34795.14,12406.01,34392.52,True,True,84.83726525306702
43,100.0%,100.0%,34795.67,12406.01,34392.97,True,True,85.97559642791748
44,100.0%,100.0%,34796.12,12406.01,34393.43,True,True,87.19406962394714
