k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,19.650000000000002%,29.07%,6080.51,8997.02,5304.17,True,False,48.978962659835815
2,93.84%,96.1%,18383.06,16187.83,17922.58,True,True,49.31289052963257
3,97.65%,97.89999999999999%,23686.24,16663.99,23768.52,True,True,49.72849369049072
4,98.02%,98.45%,26346.06,16914.07,26083.9,True,True,50.25564908981323
5,98.34%,99.0%,28663.58,17116.23,28093.53,True,True,50.74279499053955
6,98.34%,99.0%,30031.03,17116.23,29650.76,True,True,51.25665640830994
7,98.34%,99.0%,30971.42,17116.23,30688.05,True,True,51.843963384628296
8,98.34%,99.0%,31658.74,17116.23,31318.48,True,True,52.45495104789734
9,98.34%,99.0%,32290.79,17116.23,32063.63,True,True,53.03578329086304
10,98.34%,99.0%,32668.34,17116.23,32382.61,True,True,53.598538637161255
11,98.34%,99.0%,32990.33,17116.23,32660.3,True,True,54.23076415061951
12,98.41%,99.0%,33258.46,17116.23,32923.99,True,True,54.85682249069214
13,98.42%,99.0%,33509.35,17093.27,33120.23,True,True,55.48994016647339
14,98.42%,99.0%,33734.43,17093.27,33372.75,True,True,56.127543926239014
15,99.82%,99.75%,33947.15,15669.29,33611.73,True,True,56.85222554206848
16,99.82%,99.75%,34136.53,15669.29,33806.18,True,True,57.58597278594971
17,99.82%,99.75%,34302.19,15669.29,33996.75,True,True,58.42184495925903
18,99.82%,99.75%,34366.76,15668.35,34047.92,True,True,59.226895332336426
19,99.82%,99.75%,34428.18,15668.35,34095.85,True,True,60.02416372299194
20,99.85000000000001%,99.85000000000001%,34481.78,15694.53,34130.43,True,True,60.862011194229126
21,99.85000000000001%,99.85000000000001%,34524.62,15694.53,34162.51,True,True,61.68146228790283
22,99.86%,99.9%,34562.87,15677.2,34162.51,True,True,62.5567262172699
23,99.86%,99.9%,34597.91,15677.2,34198.15,True,True,63.47040677070618
24,99.86%,99.9%,34630.06,15677.2,34231.47,True,True,64.44861078262329
25,99.94%,99.95%,34665.26,15620.51,34273.28,True,True,65.2995834350586
26,99.94%,99.95%,34688.32,15620.51,34292.27,True,True,66.25210523605347
27,99.94%,99.95%,34704.22,15620.51,34310.2,True,True,67.29132986068726
28,99.95%,99.95%,34718.35,15620.51,34325.73,True,True,68.29915475845337
29,99.95%,99.95%,34731.96,15620.51,34334.17,True,True,69.25492858886719
30,99.95%,99.95%,34739.6,15620.51,34339.71,True,True,70.2123851776123
31,99.95%,99.95%,34748.22,15620.51,34348.38,True,True,71.19756293296814
32,99.95%,99.95%,34756.03,15620.51,34354.04,True,True,72.2374837398529
33,99.95%,99.95%,34763.61,15620.51,34360.44,True,True,73.33461427688599
34,100.0%,100.0%,34770.0,12406.01,34366.91,True,True,74.29593896865845
35,100.0%,100.0%,34773.3,12406.01,34370.45,True,True,75.35197639465332
36,100.0%,100.0%,34775.52,12406.01,34373.26,True,True,76.58449029922485
37,100.0%,100.0%,34777.69,12406.01,34373.26,True,True,77.73746109008789
38,100.0%,100.0%,34779.82,12406.01,34375.55,True,True,78.93224501609802
39,100.0%,100.0%,34781.0,12406.01,34375.55,True,True,80.04799294471741
40,100.0%,100.0%,34781.92,12406.01,34376.7,True,True,81.3839590549469
41,100.0%,100.0%,34782.82,12406.01,34377.28,True,True,82.61846804618835
42,100.0%,100.0%,34783.35,12406.01,34377.72,True,True,83.73179030418396
43,100.0%,100.0%,34783.8,12406.01,34378.19,True,True,84.88590264320374
