k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,54.459999999999994%,39.46%,15261.08,11058.33,16379.8,True,True,48.605762243270874
2,59.650000000000006%,50.9%,19016.22,16264.58,19418.43,True,True,48.84336566925049
3,78.68%,60.99%,22565.87,15270.05,23412.19,True,True,49.059558391571045
4,90.05%,82.87%,25180.78,18257.41,25382.85,True,True,49.319119453430176
5,90.05%,82.87%,26549.75,18257.41,26939.6,True,True,49.601255655288696
6,90.05%,82.87%,27704.39,18257.41,28196.08,True,True,49.90162181854248
7,90.05%,82.87%,28180.76,18257.41,28707.66,True,True,50.22583341598511
8,94.62%,92.91%,28671.2,14131.54,29042.36,True,True,50.511226177215576
9,95.45%,93.56%,28884.54,13676.11,29258.22,True,True,50.87639856338501
10,95.45%,93.56%,28884.54,13623.03,29258.22,True,True,51.28203749656677
11,95.52000000000001%,93.76%,29064.01,13662.15,29420.17,True,True,51.62149691581726
12,96.08%,93.91000000000001%,29177.58,13557.41,29554.91,True,True,52.02288556098938
13,96.08%,93.91000000000001%,29228.89,13557.41,29588.12,True,True,52.49842429161072
14,96.08%,93.91000000000001%,29272.17,13557.41,29632.1,True,True,52.92099571228027
15,96.08%,93.91000000000001%,29304.42,13557.41,29657.89,True,True,53.347222566604614
16,96.08%,93.91000000000001%,29318.71,13557.41,29670.76,True,True,53.888263463974
17,96.08%,93.91000000000001%,29338.91,13557.41,29693.77,True,True,54.36456084251404
18,96.08%,93.91000000000001%,29353.0,13557.41,29708.29,True,True,54.82926893234253
