k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,14.469999999999999%,19.93%,5960.6,8209.63,5361.94,True,False,47.97619962692261
2,60.07%,51.6%,18738.0,16058.18,19178.2,True,True,48.19738721847534
3,79.03999999999999%,61.59%,22275.91,15104.54,23162.04,True,True,48.439645290374756
4,90.21000000000001%,83.07%,24847.31,18210.16,25102.11,True,True,48.67000079154968
5,90.21000000000001%,83.07%,26216.29,18210.16,26658.86,True,True,48.91538882255554
6,90.21000000000001%,83.07%,27356.29,18210.16,27900.09,True,True,49.185556173324585
7,90.21000000000001%,83.07%,27917.58,18210.16,28399.52,True,True,49.44129228591919
8,94.78999999999999%,93.11%,28408.01,14166.34,28734.22,True,True,49.728501319885254
9,94.78999999999999%,93.11%,28872.38,14166.34,29231.8,True,True,50.035593032836914
10,95.32000000000001%,93.46%,29019.6,14011.03,29382.95,True,True,50.411197900772095
11,95.88%,93.61%,29133.16,13898.68,29517.69,True,True,50.79109072685242
12,95.88%,93.61%,29184.47,13898.68,29550.9,True,True,51.19162678718567
13,95.88%,93.61%,29227.75,13898.68,29594.88,True,True,51.57028532028198
14,95.88%,93.61%,29260.0,13898.68,29620.67,True,True,51.92366075515747
15,95.99%,93.81%,29289.53,13590.83,29643.37,True,True,52.28376078605652
16,95.99%,93.81%,29309.73,13590.83,29666.38,True,True,52.734097480773926
17,95.99%,93.81%,29324.02,13590.83,29679.24,True,True,53.10672926902771
18,95.99%,93.81%,29338.11,13590.83,29693.76,True,True,53.47644591331482
