k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,84.91%,75.1%,16381.26,14487.53,16877.42,True,True,224.12859201431274
2,86.94%,77.05%,20185.2,15336.07,21105.52,True,True,225.89828205108643
3,89.46%,80.67999999999999%,23580.67,16581.65,24680.19,True,True,227.85173654556274
4,90.31%,81.64%,25823.16,17025.27,27036.29,True,True,229.79366827011108
5,91.73%,83.32000000000001%,27806.37,17688.85,29098.86,True,True,231.93901753425598
6,94.84%,89.38000000000001%,29730.56,19452.59,30651.44,True,True,233.91822409629822
7,94.84%,89.38000000000001%,30739.49,19452.59,31759.94,True,True,236.0789177417755
8,94.84%,89.38000000000001%,31630.65,19452.59,32777.41,True,True,238.28863525390625
9,99.52%,99.33%,32483.41,18281.92,33377.98,True,True,240.5451045036316
10,99.52%,99.33%,32993.81,18281.92,33724.15,True,True,243.24212431907654
11,99.52%,99.33%,33441.5,18281.92,34045.64,True,True,246.19621396064758
12,99.52%,99.33%,33760.45,18281.92,34415.04,True,True,249.15027236938477
13,99.52%,99.33%,34015.74,18281.92,34630.81,True,True,252.3918559551239
14,99.62%,99.41%,34288.21,18300.55,34868.24,True,True,255.56115341186523
15,99.62%,99.41%,34486.54,18300.55,35078.34,True,True,258.9752480983734
16,99.7%,99.6%,34636.87,18333.92,35177.95,True,True,262.33854842185974
17,99.8%,99.66000000000001%,34776.18,18335.87,35325.68,True,True,265.7597086429596
18,99.82%,99.75%,34890.35,18356.77,35402.5,True,True,269.5544271469116
19,99.92%,99.92%,34977.84,18364.3,35456.25,True,True,273.30194449424744
20,99.92%,99.92%,35063.83,18364.3,35515.53,True,True,277.2397699356079
21,99.92%,99.92%,35138.96,18364.3,35552.05,True,True,281.3615221977234
22,99.92%,99.92%,35186.01,18364.3,35606.48,True,True,285.7726011276245
23,99.92%,99.92%,35229.19,18364.3,35654.07,True,True,289.9712109565735
24,99.92%,99.92%,35270.1,18364.3,35689.46,True,True,294.0990927219391
25,99.94%,99.92999999999999%,35310.18,18368.41,35728.52,True,True,298.5791118144989
26,99.94%,99.92999999999999%,35348.56,18368.41,35763.54,True,True,303.23661255836487
27,99.94%,99.92999999999999%,35384.7,18368.41,35789.32,True,True,307.9724049568176
28,99.94%,99.92999999999999%,35419.0,18368.41,35827.64,True,True,312.5292785167694
29,99.94%,99.92999999999999%,35449.1,18368.41,35859.91,True,True,317.2122452259064
30,99.94%,99.92999999999999%,35476.33,18368.41,35892.12,True,True,321.7991602420807
31,99.95%,99.97%,35489.81,18371.12,35897.78,True,True,326.40290093421936
32,99.95%,99.97%,35513.28,18371.12,35918.9,True,True,331.03229546546936
33,99.95%,99.97%,35535.82,18371.12,35938.68,True,True,335.8454096317291
34,99.95%,99.97%,35555.75,18371.12,35958.39,True,True,340.97613286972046
35,99.95%,99.97%,35573.38,18371.12,35971.39,True,True,346.25150299072266
36,99.95%,99.97%,35590.79,18371.12,35984.67,True,True,351.4781930446625
37,99.95%,99.97%,35606.96,18371.12,35996.7,True,True,356.6292691230774
38,99.95%,99.97%,35620.23,18371.12,36003.57,True,True,361.96040391921997
39,99.95%,99.97%,35630.72,18371.12,36012.28,True,True,367.2757761478424
40,99.95%,99.97%,35640.57,18371.12,36022.3,True,True,372.52941513061523
41,99.95%,99.97%,35647.55,18371.12,36029.73,True,True,377.63942289352417
42,99.96000000000001%,99.97%,35654.33,18349.41,36037.26,True,True,382.9705550670624
43,99.96000000000001%,99.97%,35659.56,18349.41,36042.3,True,True,389.0737545490265
44,99.96000000000001%,99.97%,35663.32,18349.41,36046.12,True,True,395.30190873146057
45,99.96000000000001%,99.97%,35666.93,18349.41,36050.58,True,True,401.6847302913666
46,99.98%,99.98%,35669.37,14331.87,36053.15,True,True,408.1008379459381
47,99.98%,99.98%,35672.46,14331.87,36056.12,True,True,414.2578172683716
48,99.98%,99.98%,35675.2,14331.87,36058.25,True,True,420.324156999588
49,99.98%,99.98%,35677.92,14331.87,36060.46,True,True,426.59923815727234
50,99.98%,99.98%,35679.98,14331.87,36061.6,True,True,432.6583080291748
