k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,17.26%,13.98%,3334.08,2699.35,3500.38,True,False,225.04663753509521
2,39.31%,29.049999999999997%,9898.65,7188.48,10608.73,True,True,226.20331954956055
3,80.78%,60.12%,18924.23,12454.96,20241.98,True,True,227.6081669330597
4,80.78%,60.12%,22422.45,12454.96,24237.7,True,True,229.6281418800354
5,95.36%,89.19%,25160.97,17093.31,26263.53,True,True,231.66303324699402
6,95.36%,89.19%,27256.77,17093.31,28482.23,True,True,234.1117241382599
7,95.36%,89.19%,29037.34,17093.31,30357.99,True,True,236.48693919181824
8,96.75%,92.63%,30555.94,18155.49,31542.61,True,True,239.13167357444763
9,96.75%,92.63%,31338.18,18155.49,32406.28,True,True,241.7012495994568
10,97.63%,95.04%,31993.76,18828.39,32812.0,True,True,244.50297331809998
11,97.63%,95.04%,32546.44,18828.39,33414.25,True,True,247.50477576255798
12,97.63%,95.04%,32907.41,18828.39,33675.46,True,True,250.50089120864868
13,99.16%,97.88%,33222.38,18636.09,33923.49,True,True,253.59868693351746
14,99.16%,97.88%,33494.79,18636.09,34118.54,True,True,256.97357964515686
15,99.16%,97.88%,33750.07,18636.09,34334.31,True,True,260.5484118461609
16,99.16%,97.88%,33995.53,18636.09,34572.67,True,True,263.9043791294098
17,99.16%,97.88%,34193.86,18636.09,34782.77,True,True,267.442218542099
18,99.16%,97.88%,34381.27,18636.09,34996.65,True,True,271.09665870666504
19,99.16%,97.88%,34562.2,18636.09,35126.53,True,True,274.95539903640747
20,99.16%,97.88%,34732.37,18636.09,35316.75,True,True,278.5556683540344
21,99.24%,98.15%,34859.66,18704.19,35400.21,True,True,282.2395660877228
22,99.42999999999999%,98.75%,34969.6,18856.0,35450.97,True,True,286.29075622558594
23,99.61%,99.26%,35055.5,18945.04,35511.28,True,True,290.3012447357178
24,99.61%,99.26%,35126.26,18945.04,35559.69,True,True,294.6408517360687
25,99.61%,99.26%,35174.21,18945.04,35617.84,True,True,298.98903918266296
26,99.61%,99.26%,35216.91,18945.04,35663.7,True,True,303.3445701599121
27,99.61%,99.26%,35257.42,18945.04,35706.82,True,True,307.7765517234802
28,99.61%,99.26%,35294.72,18945.04,35739.23,True,True,312.39080810546875
29,99.61%,99.26%,35327.67,18945.04,35754.49,True,True,316.9400460720062
30,99.85000000000001%,99.68%,35359.86,13997.55,35779.95,True,True,321.5694968700409
31,99.85000000000001%,99.68%,35391.12,13997.55,35807.19,True,True,326.86153626441956
32,99.85000000000001%,99.68%,35420.95,13997.55,35836.12,True,True,332.30737686157227
33,99.85000000000001%,99.68%,35447.85,13997.55,35866.0,True,True,337.5983462333679
34,99.95%,99.81%,35474.0,14005.65,35890.41,True,True,343.1366157531738
35,99.95%,99.81%,35497.07,14005.65,35911.17,True,True,348.96467208862305
36,99.95%,99.81%,35518.11,14005.65,35927.2,True,True,355.1436393260956
37,99.95%,99.81%,35538.55,14005.65,35951.23,True,True,361.08538842201233
38,99.95%,99.81%,35558.91,14005.65,35962.47,True,True,367.0533332824707
39,99.95%,99.81%,35578.85,14005.65,35982.18,True,True,372.78256011009216
40,99.95%,99.81%,35594.75,14005.65,35994.17,True,True,378.96989369392395
41,99.95%,99.81%,35609.88,14005.65,36004.28,True,True,386.01194429397583
42,99.95%,99.81%,35624.72,14005.65,36019.49,True,True,391.92572927474976
43,99.95%,99.81%,35635.2,14005.65,36028.2,True,True,398.0119786262512
44,99.96000000000001%,99.85000000000001%,35639.59,14013.47,36030.77,True,True,404.67542338371277
45,99.98%,99.92%,35646.96,14029.29,36033.19,True,True,410.6710150241852
46,99.98%,99.92%,35652.94,14029.29,36038.93,True,True,416.973158121109
47,99.98%,99.92%,35658.17,14029.29,36043.97,True,True,423.5032525062561
48,99.98%,99.92%,35661.99,14029.29,36046.36,True,True,429.95032000541687
49,99.98%,99.92%,35665.75,14029.29,36050.17,True,True,436.3229570388794
50,99.98%,99.92%,35669.36,14029.29,36054.64,True,True,442.7164034843445
