k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,66.83%,39.739999999999995%,14392.68,8558.58,15921.25,True,True,183.5876772403717
2,91.11%,81.93%,18233.28,13672.25,19019.96,True,True,184.72435688972473
3,91.57%,82.48%,20927.2,13863.44,21893.63,True,True,186.23306441307068
4,91.57%,82.48%,23344.4,13863.44,24650.02,True,True,187.7172818183899
5,91.57%,82.48%,24635.26,13863.44,26006.13,True,True,189.3083097934723
6,97.46000000000001%,94.86%,25690.4,15277.37,26761.11,True,True,190.95965337753296
7,98.89%,96.8%,26602.71,15738.56,27688.87,True,True,193.01175904273987
8,98.89%,96.8%,27251.51,15738.56,28153.24,True,True,195.10872840881348
9,98.89%,96.8%,27743.18,15738.56,28554.27,True,True,197.28085803985596
10,98.89%,96.8%,28174.02,15738.56,28846.86,True,True,199.57657194137573
11,98.89%,96.8%,28549.61,15708.92,29230.61,True,True,202.02007412910461
12,98.89%,96.8%,28860.28,15708.92,29571.94,True,True,204.47035479545593
13,98.89%,96.8%,29121.91,15708.92,29778.3,True,True,206.9197678565979
14,98.89%,96.8%,29292.78,15708.92,29938.66,True,True,209.4381241798401
15,98.89%,96.8%,29421.56,15708.92,30067.98,True,True,211.9751181602478
16,99.18%,97.72%,29554.74,15883.2,30145.39,True,True,214.51468348503113
17,99.92%,99.81%,29644.79,12341.11,30192.56,True,True,217.20516538619995
18,99.92%,99.81%,29719.07,12341.11,30245.25,True,True,220.3276755809784
19,99.92%,99.81%,29784.07,12341.11,30314.74,True,True,223.52994108200073
20,99.92%,99.81%,29844.14,12341.11,30358.65,True,True,226.77854466438293
21,99.92%,99.81%,29903.58,12341.11,30426.35,True,True,230.3402578830719
22,99.92%,99.81%,29958.37,12341.11,30484.46,True,True,234.22437977790833
23,99.92%,99.81%,30011.94,12341.11,30532.62,True,True,237.9077489376068
24,99.92%,99.81%,30055.78,12341.11,30553.33,True,True,241.46403455734253
25,99.92%,99.81%,30095.99,12341.11,30566.61,True,True,244.7888810634613
26,99.92%,99.81%,30129.8,12341.11,30606.6,True,True,248.6165907382965
27,99.92999999999999%,99.85000000000001%,30157.34,12342.52,30622.64,True,True,252.59281492233276
28,99.92999999999999%,99.85000000000001%,30169.49,12342.52,30634.5,True,True,256.5169126987457
29,99.92999999999999%,99.87%,30192.59,12347.54,30658.23,True,True,260.48831009864807
30,99.92999999999999%,99.87%,30203.52,12347.54,30664.31,True,True,264.2437815666199
31,99.92999999999999%,99.87%,30213.27,12347.54,30675.07,True,True,268.82911467552185
32,99.92999999999999%,99.87%,30220.37,12347.54,30680.56,True,True,272.95361828804016
33,99.92999999999999%,99.87%,30226.83,12347.54,30688.32,True,True,277.0295658111572
34,99.98%,99.98%,30232.19,11043.53,30691.71,True,True,280.8922154903412
35,99.99%,99.98%,30237.41,11042.84,30697.14,True,True,285.1422281265259
36,99.99%,99.98%,30240.37,11041.88,30699.44,True,True,288.93479561805725
37,99.99%,99.98%,30240.49,11014.82,30699.47,True,True,293.06946539878845
