k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,17.26%,13.98%,3334.08,2699.35,3500.38,True,False,224.1888165473938
2,80.78%,60.12%,17019.4,12454.96,18179.37,True,True,225.22145080566406
3,80.78%,60.12%,20517.62,12454.96,22175.09,True,True,226.9863440990448
4,85.41%,72.64%,21919.03,15389.66,23074.88,True,True,228.81796264648438
5,85.41%,72.64%,23986.08,15389.66,25283.87,True,True,230.8006112575531
6,96.98%,93.31%,26157.96,18058.36,27007.73,True,True,232.80542612075806
7,97.67%,95.04%,27388.1,18594.65,27997.7,True,True,235.19717860221863
8,98.24000000000001%,96.67999999999999%,28465.18,19051.1,28890.6,True,True,237.6314995288849
9,98.55000000000001%,97.28999999999999%,28784.76,19213.5,29157.03,True,True,240.04725337028503
10,98.82%,97.99%,29031.98,19364.76,29363.1,True,True,242.62848472595215
11,98.82%,97.99%,29031.98,19364.76,29363.1,True,True,245.51226782798767
12,98.82%,97.99%,29032.7,19364.76,29363.9,True,True,248.3099958896637
