k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.36999999999999%,94.19999999999999%,16855.26,17190.01,16767.56,True,True,120.56089568138123
2,97.28999999999999%,96.61%,20521.69,17729.81,20848.22,True,True,121.52771353721619
3,97.67%,96.86%,21294.68,17789.55,21643.55,True,True,122.3552668094635
4,99.6%,99.19%,21862.73,18173.51,22145.06,True,True,123.21918106079102
5,99.72999999999999%,99.53999999999999%,22109.9,18245.14,22312.28,True,True,124.33815312385559
6,99.72999999999999%,99.53999999999999%,22194.34,18245.14,22390.68,True,True,125.36518120765686
7,99.85000000000001%,99.71%,22230.42,18238.27,22422.33,True,True,126.60101079940796
8,99.85000000000001%,99.71%,22261.53,18238.27,22446.53,True,True,128.01913142204285
9,99.85000000000001%,99.71%,22276.42,18238.27,22460.26,True,True,129.37641668319702
10,99.95%,99.92999999999999%,22289.87,13973.87,22469.35,True,True,130.78343796730042
11,99.95%,99.92999999999999%,22292.49,13973.87,22471.55,True,True,132.4527359008789
12,99.96000000000001%,99.95%,22294.47,13889.0,22473.43,True,True,134.03654670715332
13,99.96000000000001%,99.95%,22294.72,13889.0,22473.59,True,True,135.47048163414001
