k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,29.68%,33.32%,5953.0,6681.58,5762.11,True,False,183.483060836792
2,77.29%,61.91%,16490.98,12839.98,17404.3,True,True,184.53757667541504
3,77.29%,61.91%,19005.3,12839.98,20114.62,True,True,185.96404027938843
4,93.89999999999999%,88.23%,21632.31,14887.68,22339.27,True,True,187.3387804031372
5,93.89999999999999%,88.23%,24049.51,14887.68,25095.65,True,True,189.12163090705872
6,93.89999999999999%,88.23%,25336.81,14887.68,26447.64,True,True,190.77974200248718
7,95.32000000000001%,90.14999999999999%,26246.31,15390.18,27372.74,True,True,192.719300031662
8,99.2%,97.77%,26942.38,15899.77,27896.98,True,True,194.74195218086243
9,99.2%,97.77%,27536.46,15899.77,28387.17,True,True,197.13121223449707
10,99.2%,97.77%,28006.71,15899.77,28713.4,True,True,199.4099223613739
11,99.2%,97.77%,28364.42,15899.77,28987.76,True,True,201.62584710121155
12,99.2%,97.77%,28675.08,15899.77,29329.1,True,True,204.06665682792664
13,99.2%,97.77%,28937.12,15899.77,29618.88,True,True,206.62984108924866
14,99.2%,97.77%,29176.68,15899.77,29793.79,True,True,209.18433284759521
15,99.2%,97.77%,29394.9,15899.77,29973.51,True,True,211.84568667411804
16,99.2%,97.77%,29546.27,15899.77,30126.09,True,True,214.60281133651733
17,99.2%,97.77%,29650.2,15899.77,30226.14,True,True,217.39462423324585
18,99.67%,99.31%,29700.29,13034.88,30246.11,True,True,220.28730630874634
19,99.67%,99.31%,29772.31,13034.88,30323.5,True,True,223.57049894332886
20,99.67%,99.31%,29837.31,13034.88,30392.99,True,True,226.79233479499817
21,99.67%,99.31%,29890.88,13034.88,30441.15,True,True,230.00470280647278
22,99.67%,99.31%,29937.28,13034.88,30462.55,True,True,233.41131854057312
23,99.71%,99.44%,29981.83,13037.6,30485.86,True,True,236.49694561958313
24,99.71%,99.44%,30020.6,13037.6,30499.4,True,True,239.68216109275818
25,99.71%,99.44%,30054.41,13037.6,30539.39,True,True,243.13228726387024
26,99.72999999999999%,99.46000000000001%,30057.28,11834.51,30542.45,True,True,246.51612854003906
27,99.72999999999999%,99.46000000000001%,30088.45,11834.51,30563.64,True,True,250.09207272529602
28,99.72999999999999%,99.46000000000001%,30119.02,11834.51,30597.09,True,True,253.66720294952393
29,99.75%,99.53%,30122.72,11779.53,30598.38,True,True,257.28446912765503
30,99.96000000000001%,99.9%,30146.09,10895.04,30617.24,True,True,261.03825974464417
31,99.96000000000001%,99.9%,30162.86,10895.04,30634.63,True,True,264.8422827720642
32,99.97%,99.95%,30166.46,10890.33,30635.55,True,True,268.69338488578796
33,99.97%,99.95%,30178.88,10890.33,30642.25,True,True,273.02553153038025
34,99.97%,99.95%,30188.23,10890.33,30651.34,True,True,277.0036156177521
35,99.97%,99.95%,30195.33,10890.33,30656.83,True,True,281.05486702919006
36,99.97%,99.95%,30201.79,10890.33,30664.59,True,True,285.121187210083
37,99.97%,99.95%,30205.82,10890.33,30668.52,True,True,289.3759253025055
38,99.97%,99.95%,30208.68,10890.33,30671.88,True,True,293.21792340278625
39,99.97%,99.95%,30210.35,10890.33,30673.5,True,True,297.4329364299774
40,99.97%,99.95%,30211.45,10890.33,30674.64,True,True,301.6463222503662
41,99.97%,99.95%,30212.36,10890.33,30675.55,True,True,305.69997668266296
42,99.98%,99.98%,30212.92,9475.17,30675.55,True,True,309.9584176540375
43,99.98%,99.98%,30213.55,9475.17,30676.35,True,True,314.0661025047302
44,99.98%,99.98%,30213.91,9475.17,30676.74,True,True,318.2686884403229
45,99.98%,99.98%,30214.07,9475.17,30676.89,True,True,322.4735116958618
46,99.98%,99.98%,30214.1,9475.17,30676.93,True,True,326.62486243247986
