k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,66.83%,39.739999999999995%,14392.68,8558.58,15921.25,True,True,90.37879204750061
2,91.11%,81.93%,18233.28,13672.25,19019.96,True,True,91.06219410896301
3,99.64%,99.11%,19166.99,11104.68,19705.59,True,True,91.95702147483826
4,99.7%,99.26%,19603.08,11123.5,20103.67,True,True,92.82870149612427
5,99.91%,99.7%,20036.77,11182.39,20416.71,True,True,93.74404406547546
6,99.91%,99.7%,20219.96,11182.39,20556.21,True,True,94.8102297782898
7,99.91%,99.7%,20236.59,11182.39,20571.85,True,True,96.04432988166809
8,99.98%,99.97%,20255.88,11038.5,20579.51,True,True,97.39851498603821
9,99.98%,99.97%,20260.59,11038.5,20583.03,True,True,98.75893759727478
10,99.98%,99.97%,20263.51,11038.5,20586.55,True,True,100.30160331726074
11,99.98%,99.97%,20265.05,11038.5,20588.1,True,True,101.68868231773376
12,99.99%,99.98%,20266.23,10996.74,20589.1,True,True,103.01099872589111
13,99.99%,99.98%,20266.48,10985.15,20589.22,True,True,104.31057405471802
